video_index,thisN,thisTrialN,thisRepN,video_id,belief,skip_video.keys,rating_sam_1.keys,rating_sam_1.rt,rating_sam_1.duration,rating_sam_2.keys,rating_sam_2.rt,rating_sam_2.duration,rating_sam_3.keys,rating_sam_3.rt,rating_sam_3.duration,focus_slider.response,focus_slider.rt,skip_video.rt,skip_video.duration,stimuli.thisRepN,stimuli.thisTrialN,stimuli.thisN,stimuli.thisIndex,thisRow.t,notes,expStartTime,r_instructions.started,key_instruct.started,r_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,r_baseline.started,skip_baseline.started,r_baseline.stopped,skip_baseline.keys,skip_baseline.rt,skip_baseline.duration,stimuli.video_id,stimuli.belief,r_preparation.started,r_preparation.stopped,r_fixation.started,fixation_cross.started,r_fixation.stopped,r_video.started,video.started,skip_video.started,video.stopped,r_video.stopped,stimuli.skip_video.keys,r_SAM_1.started,question_sam_1.started,rating_sam_1.started,r_SAM_1.stopped,stimuli.rating_sam_1.keys,stimuli.rating_sam_1.rt,stimuli.rating_sam_1.duration,r_SAM_2.started,question_sam_2.started,rating_sam_2.started,r_SAM_2.stopped,stimuli.rating_sam_2.keys,stimuli.rating_sam_2.rt,stimuli.rating_sam_2.duration,r_SAM_3.started,question_sam_3.started,rating_sam_3.started,r_SAM_3.stopped,stimuli.rating_sam_3.keys,stimuli.rating_sam_3.rt,stimuli.rating_sam_3.duration,r_focus_questionnaire.started,focus_slider.started,r_focus_questionnaire.stopped,stimuli.focus_slider.response,stimuli.focus_slider.rt,fixation_cross.stopped,stimuli.skip_video.rt,stimuli.skip_video.duration,r_final_questionnaire.started,opinion_slider.started,r_final_questionnaire.stopped,opinion_slider.response,opinion_slider.rt,expEndTime,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,1764167084.1744032,0.24320137499307748,0.27154112499556504,17.69559124999796,space,17.13849179099634,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,001,2025-11-26_15h24.22.796,manipulation-of-belief,,2025.1.1,2025-11-26 15h24.45.704576 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.695629999994708,17.729291374998866,143.77793449999444,space,126.04460945800383,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,001,2025-11-26_15h24.22.796,manipulation-of-belief,,2025.1.1,2025-11-26 15h24.45.704576 +0100,
1,0,0,0,11946387_3840_2160_30fps.mp4,Human Generated,None,3,17.39147091600171,None,2,7.868915707003907,None,3,14.804268332001811,None,3.0,8.29285154199897,,,0,0,0,0,143.8653647079991,,,,,,,,,,,,,,,11946387_3840_2160_30fps.mp4,Human Generated,143.8241836659945,148.77985604099376,148.7799200409936,148.79412908299855,149.77960399999574,150.00163904099463,150.07195045799745,150.07195045799745,270.38647883299564,270.17902891599806,None,270.31995770799404,270.38647883299564,270.38647883299564,287.82978824999736,3,17.39147091600171,None,287.8299119999938,288.1216499999937,288.1216499999937,295.9976822079989,2,7.868915707003907,None,295.9979667499938,296.01529045799543,296.01529045799543,310.82454795799276,3,14.804268332001811,None,310.83485629099596,310.92703233299835,319.13866374999634,3.0,8.29285154199897,,,,,,,,,,14,001,2025-11-26_15h24.22.796,manipulation-of-belief,,2025.1.1,2025-11-26 15h24.45.704576 +0100,
2,1,1,0,5768645-uhd_3840_2160_25fps.mp4,AI Generated,space,4,7.174257457001659,None,4,6.758725831998163,None,4,16.146157291004783,None,4.0,8.22322287499992,121.775872582999,None,0,1,1,1,319.14703104099317,,,,,,,,,,,,,,,5768645-uhd_3840_2160_25fps.mp4,AI Generated,319.1393564159953,324.13952808299655,324.139622415998,324.1451851659949,325.1278463329945,325.6368039999943,325.7204708749996,325.7204708749996,445.8344605829989,447.5440518329997,space,447.67877595799655,447.8075100829956,447.8075100829956,454.9895883329955,4,7.174257457001659,None,454.98975724999764,455.00223066599574,455.00223066599574,461.77333608299523,4,6.758725831998163,None,461.7735423329941,461.786978832999,461.786978832999,477.9392204579999,4,16.146157291004783,None,477.95298162499967,477.9895726659961,486.18718458299554,4.0,8.22322287499992,325.7204708749996,121.775872582999,None,,,,,,,14,001,2025-11-26_15h24.22.796,manipulation-of-belief,,2025.1.1,2025-11-26 15h24.45.704576 +0100,
3,2,2,0,4171487-uhd_3840_2160_30fps.mp4,AI Generated,space,5,8.257540582999354,None,2,5.612349540999276,None,3,4.485072873998433,None,4.0,8.612242250004783,114.41089879100036,None,0,2,2,2,486.19655449999846,,,,,,,,,,,,,,,4171487-uhd_3840_2160_30fps.mp4,AI Generated,486.1887042909948,491.18766949999554,491.18772458299645,491.19370220799465,492.17667474999325,492.57953666599497,492.64714316599566,492.64714316599566,604.8954641659948,607.099852124993,space,607.2403864999942,607.2821642079944,607.2821642079944,615.5441148329992,5,8.257540582999354,None,615.5442781659949,615.5566408749946,615.5566408749946,621.1712199159956,2,5.612349540999276,None,621.1713436659993,621.1817505829968,621.1817505829968,625.6714704579936,3,4.485072873998433,None,625.6853171249968,625.7182900829939,634.3073551249981,4.0,8.612242250004783,492.64714316599566,114.41089879100036,None,,,,,,,14,001,2025-11-26_15h24.22.796,manipulation-of-belief,,2025.1.1,2025-11-26 15h24.45.704576 +0100,
4,3,3,0,18840567-hd_1920_1080_30fps.mp4,Human Generated,space,2,2.3958443329975125,None,3,3.391403707995778,None,2,3.0437471240002196,None,2.0,2.916082791001827,104.5769006249975,None,0,3,3,3,634.3184775409973,,,,,,,,,,,,,,,18840567-hd_1920_1080_30fps.mp4,Human Generated,634.3081453749983,639.3023398749938,639.3024262909967,639.3071985829956,640.2920707499943,640.5483916249941,640.6006921659937,640.6006921659937,744.0419239579933,745.189451582999,space,745.3295349159962,745.3548329579935,745.3548329579935,747.7533747909984,2,2.3958443329975125,None,747.753521957995,747.7645425409937,747.7645425409937,751.1597902079957,3,3.391403707995778,None,751.159942540995,751.172165582997,751.172165582997,754.2201682909945,2,3.0437471240002196,None,754.2238470409939,754.2530985829944,757.1510053749953,2.0,2.916082791001827,640.6006921659937,104.5769006249975,None,,,,,,,14,001,2025-11-26_15h24.22.796,manipulation-of-belief,,2025.1.1,2025-11-26 15h24.45.704576 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757.1516384159986,757.2039864579929,764.9548797499956,4.0,7.793342292003217,,14,001,2025-11-26_15h24.22.796,manipulation-of-belief,,2025.1.1,2025-11-26 15h24.45.704576 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1764167850.3985128,,,,,,,,
