video_index,thisN,thisTrialN,thisRepN,video_id,belief,skip_video.keys,skip_video.rt,skip_video.duration,rating_sam_1.keys,rating_sam_1.rt,rating_sam_1.duration,rating_sam_2.keys,rating_sam_2.rt,rating_sam_2.duration,rating_sam_3.keys,rating_sam_3.rt,rating_sam_3.duration,focus_slider.response,focus_slider.rt,stimuli.thisRepN,stimuli.thisTrialN,stimuli.thisN,stimuli.thisIndex,thisRow.t,notes,expStartTime,r_instructions.started,key_instruct.started,r_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,r_baseline.started,skip_baseline.started,r_baseline.stopped,skip_baseline.keys,skip_baseline.rt,skip_baseline.duration,stimuli.video_id,stimuli.belief,r_preparation.started,r_preparation.stopped,r_fixation.started,fixation_cross.started,r_fixation.stopped,r_video.started,video.started,skip_video.started,video.stopped,r_video.stopped,stimuli.skip_video.keys,stimuli.skip_video.rt,stimuli.skip_video.duration,r_SAM_1.started,question_sam_1.started,rating_sam_1.started,r_SAM_1.stopped,stimuli.rating_sam_1.keys,stimuli.rating_sam_1.rt,stimuli.rating_sam_1.duration,r_SAM_2.started,question_sam_2.started,rating_sam_2.started,r_SAM_2.stopped,stimuli.rating_sam_2.keys,stimuli.rating_sam_2.rt,stimuli.rating_sam_2.duration,r_SAM_3.started,question_sam_3.started,rating_sam_3.started,r_SAM_3.stopped,stimuli.rating_sam_3.keys,stimuli.rating_sam_3.rt,stimuli.rating_sam_3.duration,r_focus_questionnaire.started,focus_slider.started,r_focus_questionnaire.stopped,stimuli.focus_slider.response,stimuli.focus_slider.rt,fixation_cross.stopped,r_final_questionnaire.started,opinion_slider.started,r_final_questionnaire.stopped,opinion_slider.response,opinion_slider.rt,expEndTime,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,1763045728.386509,0.2738054170004034,0.38420145900090574,49.1413032090004,space,48.49396212400097,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2025-11-13_15h55.17.862,manipulation-of-belief,,2025.1.1,2025-11-13 15h55.30.083691 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.14139020900075,49.19389683400004,177.91650987499997,space,128.70252745799917,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2025-11-13_15h55.17.862,manipulation-of-belief,,2025.1.1,2025-11-13 15h55.30.083691 +0100,
1,0,0,0,5768645-uhd_3840_2160_25fps.mp4,Human Generated,space,128.55199987499873,None,4,10.902115082999444,None,3,8.477246790998834,None,3,10.658754998999939,None,4.0,13.54386554100165,0,0,0,0,178.0230393340007,,,,,,,,,,,,,,,5768645-uhd_3840_2160_25fps.mp4,Human Generated,177.97157337499993,182.92716408400156,182.9272199170009,182.98995079199995,183.92744500000117,184.27500608400078,184.35978366700147,184.35978366700147,304.4876782500014,312.95030095900074,space,128.55199987499873,None,313.08727287500005,313.3637805840008,313.3637805840008,324.277335625,4,10.902115082999444,None,324.2774882089998,324.289754292,324.289754292,332.77724595900145,3,8.477246790998834,None,332.7773709590001,332.7923788750013,332.7923788750013,343.4607276250008,3,10.658754998999939,None,343.471286209,343.5644545840005,357.0250016250011,4.0,13.54386554100165,,,,,,,,9,001,2025-11-13_15h55.17.862,manipulation-of-belief,,2025.1.1,2025-11-13 15h55.30.083691 +0100,
2,1,1,0,11946387_3840_2160_30fps.mp4,AI Generated,space,122.80566395800088,None,5,3.033390249000149,None,4,8.254758791001223,None,1,6.745556915999259,None,5.0,3.854231457999049,0,1,1,1,357.033767500001,,,,,,,,,,,,,,,11946387_3840_2160_30fps.mp4,AI Generated,357.02581083400037,362.0257602090005,362.0258172499998,362.0308194590016,363.0137998750015,363.3736521250012,363.45520570900044,363.45520570900044,483.51695091700094,486.26781583400043,space,122.80566395800088,None,486.4046626670006,486.48347358400133,486.48347358400133,489.52509587500026,5,3.033390249000149,None,489.5252408340002,489.53530508400036,489.53530508400036,497.79210912500093,4,8.254758791001223,None,497.7923119590014,497.7986300419998,497.7986300419998,504.54911704200094,1,6.745556915999259,None,504.5591099170015,504.5913255840005,508.4232956670003,5.0,3.854231457999049,363.45520570900044,,,,,,,9,001,2025-11-13_15h55.17.862,manipulation-of-belief,,2025.1.1,2025-11-13 15h55.30.083691 +0100,
3,2,2,0,18840567-hd_1920_1080_30fps.mp4,AI Generated,space,105.19192120799926,None,2,3.2970862910005962,None,3,3.4045950820000144,None,4,4.698678500000824,None,3.0,6.439253083000949,0,2,2,2,508.43063679199986,,,,,,,,,,,,,,,18840567-hd_1920_1080_30fps.mp4,AI Generated,508.423853667,513.4239557090004,513.4240313340015,513.4297204169998,514.4235446250004,514.6672656669998,514.7166854170009,514.7166854170009,618.1939449170004,619.9142925000015,space,105.19192120799926,None,620.0204195000006,620.0377113750001,620.0377113750001,623.3398506250014,2,3.2970862910005962,None,623.3399804170003,623.346633000001,623.346633000001,626.7566541249998,3,3.4045950820000144,None,626.7568420000007,626.7633732089998,626.7633732089998,631.4735523340005,4,4.698678500000824,None,631.4769500840011,631.5070781250015,637.9266830840006,3.0,6.439253083000949,514.7166854170009,,,,,,,9,001,2025-11-13_15h55.17.862,manipulation-of-belief,,2025.1.1,2025-11-13 15h55.30.083691 +0100,
4,3,3,0,4171487-uhd_3840_2160_30fps.mp4,Human Generated,space,114.073616665999,None,5,4.691152040999441,None,3,4.3626182499992865,None,1,3.566511831999378,None,3.0,5.462142833001053,0,3,3,3,637.9375927090005,,,,,,,,,,,,,,,4171487-uhd_3840_2160_30fps.mp4,Human Generated,637.9269641250012,642.9220218340015,642.9220732920003,642.9271744590005,643.9107518750006,644.3196253750011,644.397872417001,644.397872417001,756.6220670840012,758.4822852500001,space,114.073616665999,None,758.6074483749999,758.6278910420006,758.6278910420006,763.3211355420008,5,4.691152040999441,None,763.3212903340009,763.3278368749998,763.3278368749998,767.6939863750013,3,4.3626182499992865,None,767.694146834001,767.7196750000003,767.7196750000003,771.2942742920004,1,3.566511831999378,None,771.2976494169998,771.3266894590015,776.7698471250005,3.0,5.462142833001053,644.397872417001,,,,,,,9,001,2025-11-13_15h55.17.862,manipulation-of-belief,,2025.1.1,2025-11-13 15h55.30.083691 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,776.7705597500008,776.8173629170014,793.8239469170003,2.0,17.042340208001406,,9,001,2025-11-13_15h55.17.862,manipulation-of-belief,,2025.1.1,2025-11-13 15h55.30.083691 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1763046523.680809,,,,,,,,
