video_index,thisN,thisTrialN,thisRepN,video_id,belief,rating_sam_1.keys,rating_sam_1.rt,rating_sam_1.duration,rating_sam_2.keys,rating_sam_2.rt,rating_sam_2.duration,rating_sam_3.keys,rating_sam_3.rt,rating_sam_3.duration,focus_slider.response,focus_slider.rt,stimuli.thisRepN,stimuli.thisTrialN,stimuli.thisN,stimuli.thisIndex,thisRow.t,notes,expStartTime,r_instructions.started,key_instruct.started,r_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,r_baseline.started,r_baseline.stopped,stimuli.video_id,stimuli.belief,r_preparation.started,r_preparation.stopped,r_fixation.started,fixation_cross.started,r_fixation.stopped,r_video.started,video.started,video.stopped,r_video.stopped,r_SAM_1.started,question_sam_1.started,rating_sam_1.started,r_SAM_1.stopped,stimuli.rating_sam_1.keys,stimuli.rating_sam_1.rt,stimuli.rating_sam_1.duration,r_SAM_2.started,question_sam_2.started,rating_sam_2.started,r_SAM_2.stopped,stimuli.rating_sam_2.keys,stimuli.rating_sam_2.rt,stimuli.rating_sam_2.duration,r_SAM_3.started,question_sam_3.started,rating_sam_3.started,r_SAM_3.stopped,stimuli.rating_sam_3.keys,stimuli.rating_sam_3.rt,stimuli.rating_sam_3.duration,r_focus_questionnaire.started,focus_slider.started,r_focus_questionnaire.stopped,stimuli.focus_slider.response,stimuli.focus_slider.rt,fixation_cross.stopped,r_final_questionnaire.started,opinion_slider.started,r_final_questionnaire.stopped,opinion_slider.response,opinion_slider.rt,expEndTime,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,1762955147.8572228,0.24687983399780933,0.3124670840043109,13.270094749997952,space,12.711537209004746,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-11-12_14h45.39.812,manipulation-of-belief,,2025.1.1,2025-11-12 14h45.49.380213 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.270143375004409,133.27481450000778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-11-12_14h45.39.812,manipulation-of-belief,,2025.1.1,2025-11-12 14h45.49.380213 +0100,
1,0,0,0,4171487-uhd_3840_2160_30fps.mp4,Human Generated,5,5.744427917001303,None,2,7.254285749993869,None,3,8.191296416000114,None,2.0,14.022149000011268,0,0,0,0,133.34369520899781,,,,,,,,,,,4171487-uhd_3840_2160_30fps.mp4,Human Generated,133.3240991250059,138.2736672089959,138.27369745900796,138.30541208399518,139.2740131669998,141.58415033400524,141.67693612500443,254.01818195900705,253.83052845900238,253.96998820900626,254.01818195900705,254.01818195900705,259.8028724589967,5,5.744427917001303,None,259.8033655839972,259.83677533399896,259.83677533399896,267.09875562500383,2,7.254285749993869,None,267.09891070899903,267.1120088750031,267.1120088750031,275.3068194590014,3,8.191296416000114,None,275.31236841699865,275.3900375000085,289.3463900839997,2.0,14.022149000011268,,,,,,,,1,001,2025-11-12_14h45.39.812,manipulation-of-belief,,2025.1.1,2025-11-12 14h45.49.380213 +0100,
2,1,1,0,5768645-uhd_3840_2160_25fps.mp4,Human Generated,3,4.284147083002608,None,2,4.645094958003028,None,1,40.58194975000515,None,4.0,3.8536434580018977,0,1,1,1,289.3589483340038,,,,,,,,,,,5768645-uhd_3840_2160_25fps.mp4,Human Generated,289.3474355000071,294.34695725000347,294.34702312499576,294.35569595900597,295.3393430419965,295.90903520899883,295.9929651249986,,415.3566587920068,415.4815793339949,415.49580979200255,415.49580979200255,419.8403808340081,3,4.284147083002608,None,419.8412870839966,419.8711365000054,419.8711365000054,424.5224937919993,2,4.645094958003028,None,424.5226521250006,424.53716887500195,424.53716887500195,465.14067624999734,1,40.58194975000515,None,465.15453562499897,465.19232550000015,469.01944808400003,4.0,3.8536434580018977,295.9929651249986,,,,,,,1,001,2025-11-12_14h45.39.812,manipulation-of-belief,,2025.1.1,2025-11-12 14h45.49.380213 +0100,
3,2,2,0,18840567-hd_1920_1080_30fps.mp4,AI Generated,5,4.0190259579976555,None,1,1.6357732910109917,None,1,1.1239115409989608,None,5.0,2.168349957995815,0,2,2,2,469.02882704199874,,,,,,,,,,,18840567-hd_1920_1080_30fps.mp4,AI Generated,469.0208836249949,474.019893167002,474.01998104200175,474.0264965840033,475.01048645899573,475.34895079200214,475.40115362500364,579.0011406670092,578.8524344589969,578.996025875007,595.0194933339953,595.0194933339953,599.044088834009,5,4.0190259579976555,None,599.0445065420063,599.0552535839961,599.0552535839961,600.6941060840036,1,1.6357732910109917,None,600.6942537499999,600.7052027500031,600.7052027500031,601.8536482920026,1,1.1239115409989608,None,601.857543917009,601.9463859170064,604.0516099170054,5.0,2.168349957995815,475.40115362500364,,,,,,,1,001,2025-11-12_14h45.39.812,manipulation-of-belief,,2025.1.1,2025-11-12 14h45.49.380213 +0100,
4,3,3,0,11946387_3840_2160_30fps.mp4,AI Generated,4,2.438721708007506,None,1,1.7272937079978874,None,1,2.1831320409983164,None,4.0,3.4004699590004748,0,3,3,3,604.0683477919956,,,,,,,,,,,11946387_3840_2160_30fps.mp4,AI Generated,604.0519371249975,609.0518778340047,609.051960249999,609.0593329170079,610.0427596250083,610.3684864170064,610.4356919999991,,730.0542533749976,730.1827607919986,730.192490625006,730.192490625006,732.6580779170035,4,2.438721708007506,None,732.6589257500018,732.767919542006,732.767919542006,734.5015405419981,1,1.7272937079978874,None,734.5017147089966,734.5138892499963,734.5138892499963,736.7012004169956,1,2.1831320409983164,None,736.7048385420057,736.738021875004,740.118013875006,4.0,3.4004699590004748,610.4356919999991,,,,,,,1,001,2025-11-12_14h45.39.812,manipulation-of-belief,,2025.1.1,2025-11-12 14h45.49.380213 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740.1190729170048,740.1772019170021,746.6994249999989,2.0,6.5548223329969915,,1,001,2025-11-12_14h45.39.812,manipulation-of-belief,,2025.1.1,2025-11-12 14h45.49.380213 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762955895.8351119,,,,,,,,
