video_index,thisN,thisTrialN,thisRepN,video_id,belief,rating_sam_1.keys,rating_sam_1.rt,rating_sam_1.duration,rating_sam_2.keys,rating_sam_2.rt,rating_sam_2.duration,rating_sam_3.keys,rating_sam_3.rt,rating_sam_3.duration,focus_slider.response,focus_slider.rt,stimuli.thisRepN,stimuli.thisTrialN,stimuli.thisN,stimuli.thisIndex,thisRow.t,notes,expStartTime,r_instructions.started,key_instruct.started,r_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,r_baseline.started,r_baseline.stopped,stimuli.video_id,stimuli.belief,r_preparation.started,r_preparation.stopped,r_fixation.started,fixation_cross.started,r_fixation.stopped,r_video.started,video.started,video.stopped,r_video.stopped,r_SAM_1.started,question_sam_1.started,rating_sam_1.started,r_SAM_1.stopped,stimuli.rating_sam_1.keys,stimuli.rating_sam_1.rt,stimuli.rating_sam_1.duration,r_SAM_2.started,question_sam_2.started,rating_sam_2.started,r_SAM_2.stopped,stimuli.rating_sam_2.keys,stimuli.rating_sam_2.rt,stimuli.rating_sam_2.duration,r_SAM_3.started,question_sam_3.started,rating_sam_3.started,r_SAM_3.stopped,stimuli.rating_sam_3.keys,stimuli.rating_sam_3.rt,stimuli.rating_sam_3.duration,r_focus_questionnaire.started,focus_slider.started,r_focus_questionnaire.stopped,stimuli.focus_slider.response,stimuli.focus_slider.rt,fixation_cross.stopped,r_final_questionnaire.started,opinion_slider.started,r_final_questionnaire.stopped,opinion_slider.response,opinion_slider.rt,expEndTime,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,1762959002.067159,0.23945204200572334,0.2712159579969011,9.527474250004161,space,9.018572457993287,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2025-11-12_15h46.23.332,manipulation-of-belief,,2025.1.1,2025-11-12 15h50.03.543173 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.527511250009411,129.5285398749984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2025-11-12_15h46.23.332,manipulation-of-belief,,2025.1.1,2025-11-12 15h50.03.543173 +0100,
1,0,0,0,4171487-uhd_3840_2160_30fps.mp4,Human Generated,4,14.589939334007795,None,2,5.051628458008054,None,3,8.375765583012253,None,2.0,9.201119624995044,0,0,0,0,129.57798962500237,,,,,,,,,,,4171487-uhd_3840_2160_30fps.mp4,Human Generated,129.56487654200464,134.52844045800157,134.52849850000348,134.54810050000378,135.52844624999852,135.97957375000988,136.04668012500042,248.36770691700804,248.20505779200175,248.34889400000975,248.36770691700804,248.36770691700804,262.9791620420001,4,14.589939334007795,None,262.9802158750099,263.1359989170014,263.1359989170014,268.19430270799785,2,5.051628458008054,None,268.1944749999966,268.20791024999926,268.20791024999926,276.593973791998,3,8.375765583012253,None,276.6027493330039,276.66525791700406,285.8138892499992,2.0,9.201119624995044,,,,,,,,4,001,2025-11-12_15h46.23.332,manipulation-of-belief,,2025.1.1,2025-11-12 15h50.03.543173 +0100,
2,1,1,0,18840567-hd_1920_1080_30fps.mp4,AI Generated,2,10.133409292000579,None,3,5.086852875014301,None,5,5.596950374994776,None,3.0,8.769017583006644,0,1,1,1,285.8249059170048,,,,,,,,,,,18840567-hd_1920_1080_30fps.mp4,AI Generated,285.8147492920107,290.80922508300864,290.809276333006,290.81665295800485,291.80005766700197,292.1416567920096,292.19328395799675,395.7755989580037,395.6273293749982,395.7707317500026,411.8066285829991,411.8066285829991,421.94837141700555,2,10.133409292000579,None,421.9484860000084,421.9837889170012,421.9837889170012,427.0742650000029,3,5.086852875014301,None,427.0743877500063,427.08517279200896,427.08517279200896,432.69091645799926,5,5.596950374994776,None,432.6927912920073,432.72059566700773,441.47225250001065,3.0,8.769017583006644,292.19328395799675,,,,,,,4,001,2025-11-12_15h46.23.332,manipulation-of-belief,,2025.1.1,2025-11-12 15h50.03.543173 +0100,
3,2,2,0,5768645-uhd_3840_2160_25fps.mp4,Human Generated,4,12.515918958000839,None,4,7.8461112920049345,None,5,7.007480125001166,None,3.0,6.1264063749986235,0,2,2,2,441.4795285,,,,,,,,,,,5768645-uhd_3840_2160_25fps.mp4,Human Generated,441.4724517499999,446.4630512080039,446.46310449999874,446.4724877080007,447.4559680829989,447.92352695800946,448.0052015830006,,567.4876024580008,567.6251666250027,567.6550162500062,567.6550162500062,580.214099542005,4,12.515918958000839,None,580.2154350830097,580.5098207920091,580.5098207920091,588.3709895830107,4,7.8461112920049345,None,588.3715579999989,588.3924705420068,588.3924705420068,595.403379542011,5,7.007480125001166,None,595.4163401249971,595.4533320000046,601.5686991670082,3.0,6.1264063749986235,448.0052015830006,,,,,,,4,001,2025-11-12_15h46.23.332,manipulation-of-belief,,2025.1.1,2025-11-12 15h50.03.543173 +0100,
4,3,3,0,11946387_3840_2160_30fps.mp4,AI Generated,5,2.368130917006056,None,4,2.429412792000221,None,3,4.118707084009657,None,5.0,2.849655875004828,0,3,3,3,601.5853139170067,,,,,,,,,,,11946387_3840_2160_30fps.mp4,AI Generated,601.5694345420052,606.5696988330019,606.5697750830004,606.5864350830088,607.5691200830042,608.0212809579971,608.0915926250018,,727.5735980000027,727.6821281250013,727.690260125004,727.690260125004,730.105281666998,5,2.368130917006056,None,730.1055571670004,730.1196180830011,730.1196180830011,732.5587445830024,4,2.429412792000221,None,732.5588616669993,732.569184167005,732.569184167005,736.7003901670105,3,4.118707084009657,None,736.7116404999979,736.7457806250022,739.5720106670051,5.0,2.849655875004828,,,,,,,,4,001,2025-11-12_15h46.23.332,manipulation-of-belief,,2025.1.1,2025-11-12 15h50.03.543173 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739.5728012920008,739.6200226670044,749.0810814580036,2.0,9.496536666993052,,4,001,2025-11-12_15h46.23.332,manipulation-of-belief,,2025.1.1,2025-11-12 15h50.03.543173 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762959752.384257,,,,,,,,
