video_index,thisN,thisTrialN,thisRepN,video_id,belief,skip_video.keys,rating_sam_1.keys,rating_sam_1.rt,rating_sam_1.duration,rating_sam_2.keys,rating_sam_2.rt,rating_sam_2.duration,rating_sam_3.keys,rating_sam_3.rt,rating_sam_3.duration,focus_slider.response,focus_slider.rt,skip_video.rt,skip_video.duration,stimuli.thisRepN,stimuli.thisTrialN,stimuli.thisN,stimuli.thisIndex,thisRow.t,notes,expStartTime,r_instructions.started,key_instruct.started,r_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,r_baseline.started,skip_baseline.started,r_baseline.stopped,skip_baseline.keys,skip_baseline.rt,skip_baseline.duration,stimuli.video_id,stimuli.belief,r_preparation.started,r_preparation.stopped,r_fix.started,polygon.started,r_fix.stopped,r_video.started,video.started,skip_video.started,video.stopped,r_video.stopped,stimuli.skip_video.keys,r_SAM_1.started,question_sam_1.started,rating_sam_1.started,r_SAM_1.stopped,stimuli.rating_sam_1.keys,stimuli.rating_sam_1.rt,stimuli.rating_sam_1.duration,r_SAM_2.started,question_sam_2.started,rating_sam_2.started,r_SAM_2.stopped,stimuli.rating_sam_2.keys,stimuli.rating_sam_2.rt,stimuli.rating_sam_2.duration,r_SAM_3.started,question_sam_3.started,rating_sam_3.started,r_SAM_3.stopped,stimuli.rating_sam_3.keys,stimuli.rating_sam_3.rt,stimuli.rating_sam_3.duration,r_focus_questionnaire.started,focus_slider.started,r_focus_questionnaire.stopped,stimuli.focus_slider.response,stimuli.focus_slider.rt,polygon.stopped,stimuli.skip_video.rt,stimuli.skip_video.duration,r_final_questionnaire.started,opinion_slider.started,r_final_questionnaire.stopped,opinion_slider.response,opinion_slider.rt,expEndTime,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,1763563875.8945866,0.03407130006235093,0.06129650003276765,24.995007000048645,space,24.901105800061487,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,2025-11-19_15h51.07.541,manipulation-of-belief,,2025.1.1,2025-11-19 15h51.17.318425 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.99521820002701,25.022602200042456,149.80377150001004,space,124.77191450004466,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,2025-11-19_15h51.07.541,manipulation-of-belief,,2025.1.1,2025-11-19 15h51.17.318425 +0100,
1,0,0,0,18840567-hd_1920_1080_30fps.mp4,Human Generated,None,4,7.012439100071788,None,1,2.5837476999731734,None,2,18.68622650008183,None,4.0,7.2807874999707565,,,0,0,0,0,149.85499070002697,,,,,,,,,,,,,,,18840567-hd_1920_1080_30fps.mp4,Human Generated,149.83860700007062,154.81994190008845,154.81997810001485,154.83636430010665,155.3198445000453,155.54392930003814,155.60646650008857,155.60646650008857,259.17306300008204,259.0184337000828,None,259.15427430009004,259.17306300008204,259.17306300008204,266.19091460003983,4,7.012439100071788,None,266.19110860000364,266.2061537000118,266.2061537000118,268.80672800005414,1,2.5837476999731734,None,268.80696570000146,268.82279880007263,268.82279880007263,287.52474340004846,2,18.68622650008183,None,287.527724100044,287.57247950008605,294.8242703001015,4.0,7.2807874999707565,,,,,,,,,,21,001,2025-11-19_15h51.07.541,manipulation-of-belief,,2025.1.1,2025-11-19 15h51.17.318425 +0100,
2,1,1,0,5768645-uhd_3840_2160_25fps.mp4,AI Generated,space,2,5.192083599977195,None,3,4.692134500015527,None,4,5.1164792000781745,None,4.0,5.167435999959707,123.34353900002316,None,0,1,1,1,294.83451670000795,,,,,,,,,,,,,,,5768645-uhd_3840_2160_25fps.mp4,AI Generated,294.8245720000705,299.82300680002663,299.82306810002774,299.8389835000271,300.3232157001039,301.13685780006927,301.2190157000441,301.2190157000441,421.32061770011205,424.57553010003176,space,424.67904010007624,424.68801890010945,424.68801890010945,429.8926478000358,2,5.192083599977195,None,429.892782800016,429.9084398000268,429.9084398000268,434.6093057000544,3,4.692134500015527,None,434.60942950006574,434.62498439999763,434.62498439999763,439.74468020000495,4,5.1164792000781745,None,439.7466097000288,439.76754830009304,444.927304700017,4.0,5.167435999959707,301.2190157000441,123.34353900002316,None,,,,,,,21,001,2025-11-19_15h51.07.541,manipulation-of-belief,,2025.1.1,2025-11-19 15h51.17.318425 +0100,
3,2,2,0,11946387_3840_2160_30fps.mp4,Human Generated,space,5,2.720033899997361,None,4,2.6529818999115378,None,5,3.657366400002502,None,5.0,3.1553101000608876,121.35455050005112,None,0,2,2,2,444.9413665001048,,,,,,,,,,,,,,,11946387_3840_2160_30fps.mp4,Human Generated,444.9275919001084,449.9249107000651,449.9249562000623,449.9410476000048,450.4260183000006,451.03386230010074,451.1107734000543,451.1107734000543,571.1610153000802,572.4772053000052,space,572.585829900112,572.5978118000785,572.5978118000785,575.3279598000227,5,2.720033899997361,None,575.328110100003,575.3440909000346,575.3440909000346,578.0120683000423,4,2.6529818999115378,None,578.0122229000553,578.0272863000864,578.0272863000864,581.695379700046,5,3.657366400002502,None,581.6976172000868,581.7171161000151,584.8666304000653,5.0,3.1553101000608876,451.1107734000543,121.35455050005112,None,,,,,,,21,001,2025-11-19_15h51.07.541,manipulation-of-belief,,2025.1.1,2025-11-19 15h51.17.318425 +0100,
4,3,3,0,4171487-uhd_3840_2160_30fps.mp4,AI Generated,space,4,4.865584600018337,None,4,2.826589099946432,None,3,2.1400410000933334,None,4.0,2.6550392999779433,114.13847140001599,None,0,3,3,3,584.8768873000517,,,,,,,,,,,,,,,4171487-uhd_3840_2160_30fps.mp4,AI Generated,584.8669296000153,589.8606177000329,589.860683200066,589.8767696000868,590.3607282000594,591.0284567000344,591.094752300065,591.094752300065,703.2861048000632,705.2469187000534,space,705.3782097001094,705.4078813000815,705.4078813000815,710.279871600098,4,4.865584600018337,None,710.2799640001031,710.2958883000538,710.2958883000538,713.1304634000408,4,2.826589099946432,None,713.1305987000233,713.1462912000716,713.1462912000716,715.2975457001012,3,2.1400410000933334,None,715.29999520001,715.3215738000581,717.9691346000182,4.0,2.6550392999779433,591.094752300065,114.13847140001599,None,,,,,,,21,001,2025-11-19_15h51.07.541,manipulation-of-belief,,2025.1.1,2025-11-19 15h51.17.318425 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,717.970580900088,717.9998529000441,724.9319324000971,3.0,6.947535400046036,,21,001,2025-11-19_15h51.07.541,manipulation-of-belief,,2025.1.1,2025-11-19 15h51.17.318425 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1763564602.21674,,,,,,,,
