video_index,thisN,thisTrialN,thisRepN,video_id,belief,rating_sam_1.keys,rating_sam_1.rt,rating_sam_1.duration,rating_sam_2.keys,rating_sam_2.rt,rating_sam_2.duration,rating_sam_3.keys,rating_sam_3.rt,rating_sam_3.duration,focus_slider.response,focus_slider.rt,stimuli.thisRepN,stimuli.thisTrialN,stimuli.thisN,stimuli.thisIndex,thisRow.t,notes,expStartTime,r_instructions.started,key_instruct.started,r_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,r_baseline.started,r_baseline.stopped,stimuli.video_id,stimuli.belief,r_preparation.started,r_preparation.stopped,r_fixation.started,fixation_cross.started,r_fixation.stopped,r_video.started,video.started,video.stopped,r_video.stopped,r_SAM_1.started,question_sam_1.started,rating_sam_1.started,r_SAM_1.stopped,stimuli.rating_sam_1.keys,stimuli.rating_sam_1.rt,stimuli.rating_sam_1.duration,r_SAM_2.started,question_sam_2.started,rating_sam_2.started,r_SAM_2.stopped,stimuli.rating_sam_2.keys,stimuli.rating_sam_2.rt,stimuli.rating_sam_2.duration,r_SAM_3.started,question_sam_3.started,rating_sam_3.started,r_SAM_3.stopped,stimuli.rating_sam_3.keys,stimuli.rating_sam_3.rt,stimuli.rating_sam_3.duration,r_focus_questionnaire.started,focus_slider.started,r_focus_questionnaire.stopped,stimuli.focus_slider.response,stimuli.focus_slider.rt,fixation_cross.stopped,r_final_questionnaire.started,opinion_slider.started,r_final_questionnaire.stopped,opinion_slider.response,opinion_slider.rt,expEndTime,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,1762956420.872096,0.24156075000064448,0.28506483300589025,11.199402708007256,space,10.679481750004925,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2025-11-12_15h06.45.987,manipulation-of-belief,,2025.1.1,2025-11-12 15h07.02.441991 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.199452750006458,131.20332554100605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2025-11-12_15h06.45.987,manipulation-of-belief,,2025.1.1,2025-11-12 15h07.02.441991 +0100,
1,0,0,0,4171487-uhd_3840_2160_30fps.mp4,Human Generated,4,7.169312166995951,None,2,5.334112042008201,None,2,10.350079333002213,None,4.0,8.951755542002502,0,0,0,0,131.2671052079968,,,,,,,,,,,4171487-uhd_3840_2160_30fps.mp4,Human Generated,131.25462287499977,136.20333283299988,136.2034101659956,136.22771333300625,137.20330004100106,137.7248399999953,137.79749554100272,250.10195691599802,249.93953662499553,250.08012462500483,250.10195691599802,250.10195691599802,257.31900941600907,4,7.169312166995951,None,257.32021716600866,257.40733483299846,257.40733483299846,262.7448065829958,2,5.334112042008201,None,262.7449683750019,262.75733362500614,262.75733362500614,273.1205131250026,2,10.350079333002213,None,273.12859320800635,273.20636508299503,282.0905512080062,4.0,8.951755542002502,,,,,,,,2,001,2025-11-12_15h06.45.987,manipulation-of-belief,,2025.1.1,2025-11-12 15h07.02.441991 +0100,
2,1,1,0,11946387_3840_2160_30fps.mp4,AI Generated,4,3.1302382499998203,None,2,2.5965833329973975,None,2,1.983680083998479,None,5.0,2.8010902919922955,0,1,1,1,282.1010184580082,,,,,,,,,,,11946387_3840_2160_30fps.mp4,AI Generated,282.0912780829967,287.08523291599704,287.0853375000006,287.0911891249998,288.0759676250018,288.4992521249951,288.57063720800215,,408.096295166004,408.2303543330054,408.24275233299704,408.24275233299704,411.42011366599763,4,3.1302382499998203,None,411.42063045800023,411.62566295800207,411.62566295800207,414.22592024999904,2,2.5965833329973975,None,414.2260497910029,414.23721433299943,414.23721433299943,416.2261813750083,2,1.983680083998479,None,416.2385270829982,416.27250670800277,419.04994479099696,5.0,2.8010902919922955,288.57063720800215,,,,,,,2,001,2025-11-12_15h06.45.987,manipulation-of-belief,,2025.1.1,2025-11-12 15h07.02.441991 +0100,
3,2,2,0,5768645-uhd_3840_2160_25fps.mp4,Human Generated,3,3.2502406659914413,None,3,3.0887348340038443,None,2,4.622238625001046,None,4.0,2.3161177079891786,0,2,2,2,419.05897216600715,,,,,,,,,,,5768645-uhd_3840_2160_25fps.mp4,Human Generated,419.0506904579961,424.0498530409968,424.0499012910004,424.05726395800593,425.04049262500484,425.5645317909948,425.65141183300875,,545.0609720409993,545.1710082500067,545.1860964579973,545.1860964579973,548.4973408750084,3,3.2502406659914413,None,548.4977793330036,548.5182227500045,548.5182227500045,551.6181058329967,3,3.0887348340038443,None,551.6182327080023,551.6309881659981,551.6309881659981,556.2558607910032,2,4.622238625001046,None,556.2675717499951,556.3012180000078,558.5969465000089,4.0,2.3161177079891786,425.65141183300875,,,,,,,2,001,2025-11-12_15h06.45.987,manipulation-of-belief,,2025.1.1,2025-11-12 15h07.02.441991 +0100,
4,3,3,0,18840567-hd_1920_1080_30fps.mp4,AI Generated,4,2.4558799590013223,None,4,1.8948909579921747,None,2,3.381209333005245,None,5.0,2.5963921660004416,0,3,3,3,558.6066284999979,,,,,,,,,,,18840567-hd_1920_1080_30fps.mp4,AI Generated,558.5975933330046,563.5975089160056,563.5976023330004,563.6053376250056,564.5882409580081,564.9031388750009,564.9530499999964,668.5834916659951,668.4256454999995,668.5655000830011,668.5834916659951,668.5834916659951,671.0814712080028,4,2.4558799590013223,None,671.0817637500004,671.0946687079995,671.0946687079995,672.995882083007,4,1.8948909579921747,None,672.9959252080007,673.0050744580076,673.0050744580076,676.3879740410048,2,3.381209333005245,None,676.3990701660077,676.4389312910062,679.005846583008,5.0,2.5963921660004416,564.9530499999964,,,,,,,2,001,2025-11-12_15h06.45.987,manipulation-of-belief,,2025.1.1,2025-11-12 15h07.02.441991 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679.0065658749954,679.0443637499993,685.0997235410032,4.0,6.082821666001109,,2,001,2025-11-12_15h06.45.987,manipulation-of-belief,,2025.1.1,2025-11-12 15h07.02.441991 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762957107.305174,,,,,,,,
