video_index,thisN,thisTrialN,thisRepN,video_id,belief,skip_video.keys,rating_sam_1.keys,rating_sam_1.rt,rating_sam_1.duration,rating_sam_2.keys,rating_sam_2.rt,rating_sam_2.duration,rating_sam_3.keys,rating_sam_3.rt,rating_sam_3.duration,focus_slider.response,focus_slider.rt,skip_video.rt,skip_video.duration,stimuli.thisRepN,stimuli.thisTrialN,stimuli.thisN,stimuli.thisIndex,thisRow.t,notes,expStartTime,r_instructions.started,key_instruct.started,r_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,r_baseline.started,skip_baseline.started,r_baseline.stopped,skip_baseline.keys,skip_baseline.rt,skip_baseline.duration,stimuli.video_id,stimuli.belief,r_preparation.started,r_preparation.stopped,r_fix.started,polygon.started,r_fix.stopped,r_video.started,video.started,skip_video.started,video.stopped,r_video.stopped,stimuli.skip_video.keys,r_SAM_1.started,question_sam_1.started,rating_sam_1.started,r_SAM_1.stopped,stimuli.rating_sam_1.keys,stimuli.rating_sam_1.rt,stimuli.rating_sam_1.duration,r_SAM_2.started,question_sam_2.started,rating_sam_2.started,r_SAM_2.stopped,stimuli.rating_sam_2.keys,stimuli.rating_sam_2.rt,stimuli.rating_sam_2.duration,r_SAM_3.started,question_sam_3.started,rating_sam_3.started,r_SAM_3.stopped,stimuli.rating_sam_3.keys,stimuli.rating_sam_3.rt,stimuli.rating_sam_3.duration,r_focus_questionnaire.started,focus_slider.started,r_focus_questionnaire.stopped,stimuli.focus_slider.response,stimuli.focus_slider.rt,polygon.stopped,stimuli.skip_video.rt,stimuli.skip_video.duration,r_final_questionnaire.started,opinion_slider.started,r_final_questionnaire.stopped,opinion_slider.response,opinion_slider.rt,expEndTime,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,1763557383.098856,0.022766900015994906,0.052257000003010035,38.48916919995099,space,38.405737000051886,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,001,2025-11-19_14h02.51.955,manipulation-of-belief,,2025.1.1,2025-11-19 14h03.03.978009 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.48945819993969,38.50954460003413,208.27793360000942,space,169.76383650000207,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,001,2025-11-19_14h02.51.955,manipulation-of-belief,,2025.1.1,2025-11-19 14h03.03.978009 +0100,
1,0,0,0,11946387_3840_2160_30fps.mp4,Human Generated,None,3,14.02942479995545,None,3,5.691142200026661,None,2,5.50617109995801,None,4.0,12.745412299991585,,,0,0,0,0,208.29723889997695,,,,,,,,,,,,,,,11946387_3840_2160_30fps.mp4,Human Generated,208.2868888999801,213.29434869997203,213.29442079993896,213.31067459995393,213.79432530002668,214.1329296999611,214.19947859994136,214.19947859994136,334.4046022000257,334.2585952000227,None,334.3936529000057,334.4046022000257,334.4046022000257,348.44789700000547,3,14.02942479995545,None,348.4481898000231,348.46343440003693,348.46343440003693,354.16407609998714,3,5.691142200026661,None,354.16424449998885,354.1802267000312,354.1802267000312,359.6986628000159,2,5.50617109995801,None,359.70348120003473,359.7372707000468,372.4641161999898,4.0,12.745412299991585,,,,,,,,,,17,001,2025-11-19_14h02.51.955,manipulation-of-belief,,2025.1.1,2025-11-19 14h03.03.978009 +0100,
2,1,1,0,18840567-hd_1920_1080_30fps.mp4,Human Generated,space,3,8.475846800021827,None,3,1.8546702000312507,None,3,4.417567000025883,None,4.0,5.313997899997048,110.87498119997326,None,0,1,1,1,372.4796520000091,,,,,,,,,,,,,,,18840567-hd_1920_1080_30fps.mp4,Human Generated,372.4644959999714,377.4636977999471,377.4637586999452,377.4797757000197,377.9629302000394,378.24699889996555,378.30647890002,378.30647890002,481.72397659998387,489.1985840999987,space,489.3174923999468,489.32247529993765,489.32247529993765,497.8159780999413,3,8.475846800021827,None,497.81612229999155,497.8321777000092,497.8321777000092,499.6996986999875,3,1.8546702000312507,None,499.699857300031,499.7152874999447,499.7152874999447,504.1496682999423,3,4.417567000025883,None,504.151890499983,504.1679514000425,509.4824074000353,4.0,5.313997899997048,378.30647890002,110.87498119997326,None,,,,,,,17,001,2025-11-19_14h02.51.955,manipulation-of-belief,,2025.1.1,2025-11-19 14h03.03.978009 +0100,
3,2,2,0,5768645-uhd_3840_2160_25fps.mp4,AI Generated,space,3,6.279243599972688,None,3,3.0142066999105737,None,3,11.495996300014667,None,3.0,3.49774740007706,124.13406870001927,None,0,2,2,2,509.4983891999582,,,,,,,,,,,,,,,5768645-uhd_3840_2160_25fps.mp4,AI Generated,509.4826898999745,514.4820612999611,514.4821148000192,514.4982099999906,514.9824461999815,515.492320499965,515.5686022000154,515.5686022000154,635.677341899951,639.7175766000291,space,639.8420203999849,639.8458497000393,639.8458497000393,646.1351001999574,3,6.279243599972688,None,646.1352332000388,646.1507570999674,646.1507570999674,649.1682817999972,3,3.0142066999105737,None,649.1683973999461,649.1845423999475,649.1845423999475,660.6856802999973,3,11.495996300014667,None,660.6875322000124,660.7042157000396,664.201429400011,3.0,3.49774740007706,515.5686022000154,124.13406870001927,None,,,,,,,17,001,2025-11-19_14h02.51.955,manipulation-of-belief,,2025.1.1,2025-11-19 14h03.03.978009 +0100,
4,3,3,0,4171487-uhd_3840_2160_30fps.mp4,AI Generated,None,4,2.672368900035508,None,2,2.936500500072725,None,3,2.3015366999898106,None,3.0,3.4478598999558017,,,0,3,3,3,664.2175272000022,,,,,,,,,,,,,,,4171487-uhd_3840_2160_30fps.mp4,AI Generated,664.2017462999793,669.2015685000224,669.2016577000031,669.2177160000429,669.7009481999557,670.1603330000071,670.2335006999783,670.2335006999783,782.5812099999748,782.441399000003,None,782.5777552999789,782.5812099999748,782.5812099999748,785.2703190000029,4,2.672368900035508,None,785.2704442000249,785.2863005000399,785.2863005000399,788.2369268999901,2,2.936500500072725,None,788.2370406000409,788.2529788999818,788.2529788999818,790.5704201000044,3,2.3015366999898106,None,790.5723323000129,790.5891996000428,794.0367705000099,3.0,3.4478598999558017,670.2335006999783,,,,,,,,,17,001,2025-11-19_14h02.51.955,manipulation-of-belief,,2025.1.1,2025-11-19 14h03.03.978009 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794.0378614999354,794.0522166000446,800.0365117000183,4.0,5.982858399976976,,17,001,2025-11-19_14h02.51.955,manipulation-of-belief,,2025.1.1,2025-11-19 14h03.03.978009 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1763558183.9922986,,,,,,,,
