video_index,thisN,thisTrialN,thisRepN,video_id,belief,skip_video.keys,skip_video.rt,skip_video.duration,rating_sam_1.keys,rating_sam_1.rt,rating_sam_1.duration,rating_sam_2.keys,rating_sam_2.rt,rating_sam_2.duration,rating_sam_3.keys,rating_sam_3.rt,rating_sam_3.duration,focus_slider.response,focus_slider.rt,stimuli.thisRepN,stimuli.thisTrialN,stimuli.thisN,stimuli.thisIndex,thisRow.t,notes,expStartTime,r_instructions.started,key_instruct.started,r_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,r_baseline.started,skip_baseline.started,r_baseline.stopped,skip_baseline.keys,skip_baseline.rt,skip_baseline.duration,stimuli.video_id,stimuli.belief,r_preparation.started,r_preparation.stopped,r_fix.started,polygon.started,r_fix.stopped,r_video.started,video.started,skip_video.started,video.stopped,r_video.stopped,stimuli.skip_video.keys,stimuli.skip_video.rt,stimuli.skip_video.duration,r_SAM_1.started,question_sam_1.started,rating_sam_1.started,r_SAM_1.stopped,stimuli.rating_sam_1.keys,stimuli.rating_sam_1.rt,stimuli.rating_sam_1.duration,r_SAM_2.started,question_sam_2.started,rating_sam_2.started,r_SAM_2.stopped,stimuli.rating_sam_2.keys,stimuli.rating_sam_2.rt,stimuli.rating_sam_2.duration,r_SAM_3.started,question_sam_3.started,rating_sam_3.started,r_SAM_3.stopped,stimuli.rating_sam_3.keys,stimuli.rating_sam_3.rt,stimuli.rating_sam_3.duration,r_focus_questionnaire.started,focus_slider.started,r_focus_questionnaire.stopped,stimuli.focus_slider.response,stimuli.focus_slider.rt,polygon.stopped,r_final_questionnaire.started,opinion_slider.started,r_final_questionnaire.stopped,opinion_slider.response,opinion_slider.rt,expEndTime,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,1763558847.3732462,0.02656220004428178,0.045524499961175025,53.99547620001249,space,53.931117399944924,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,001,2025-11-19_14h27.10.041,manipulation-of-belief,,2025.1.1,2025-11-19 14h27.28.037360 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.99558340001386,54.019096500007436,194.40118399995845,space,140.36520529992413,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,001,2025-11-19_14h27.10.041,manipulation-of-belief,,2025.1.1,2025-11-19 14h27.28.037360 +0100,
1,0,0,0,18840567-hd_1920_1080_30fps.mp4,Human Generated,space,115.02591719990596,None,4,7.343838599976152,None,2,6.394349399954081,None,1,6.198578899959102,None,4.0,10.198897199938074,0,0,0,0,194.42742480000015,,,,,,,,,,,,,,,18840567-hd_1920_1080_30fps.mp4,Human Generated,194.4126508999616,199.41777099994943,199.41782840003725,199.4341989000095,199.91782209998928,200.04004710004665,200.09523089998402,200.09523089998402,303.5167183999438,315.13652980001643,space,115.02591719990596,None,315.2669125000248,315.2732038999675,315.2732038999675,322.62023620004766,4,7.343838599976152,None,322.6203449999448,322.63639630004764,322.63639630004764,329.0370189000387,2,6.394349399954081,None,329.03713099996094,329.0532422000542,329.0532422000542,335.2535770999966,1,6.198578899959102,None,335.2550243999576,335.29292799998075,345.4700547000393,4.0,10.198897199938074,,,,,,,,18,001,2025-11-19_14h27.10.041,manipulation-of-belief,,2025.1.1,2025-11-19 14h27.28.037360 +0100,
2,1,1,0,4171487-uhd_3840_2160_30fps.mp4,AI Generated,None,,,3,6.917520400020294,None,3,12.085288600064814,None,3,26.977525199996307,None,3.0,5.964602500083856,0,1,1,1,345.4862417000113,,,,,,,,,,,,,,,4171487-uhd_3840_2160_30fps.mp4,AI Generated,345.47032209997997,350.4701490999432,350.4702019999968,350.4861990000354,350.9699387999717,351.4458133999724,351.50656270002946,351.50656270002946,463.83430790004786,463.6951187000377,None,,,463.8306797000114,463.83430790004786,463.83430790004786,470.75589190004393,3,6.917520400020294,None,470.75599900004454,470.7720473000081,470.7720473000081,482.87283590005245,3,12.085288600064814,None,482.8729608999565,482.8889357999433,482.8889357999433,509.8733327999944,3,26.977525199996307,None,509.8753268000437,509.8955374000361,515.856112999958,3.0,5.964602500083856,351.50656270002946,,,,,,,18,001,2025-11-19_14h27.10.041,manipulation-of-belief,,2025.1.1,2025-11-19 14h27.28.037360 +0100,
3,2,2,0,5768645-uhd_3840_2160_25fps.mp4,AI Generated,space,126.2868437001016,None,3,5.447097199968994,None,4,7.109698300017044,None,2,6.457199599943124,None,4.0,4.164632899919525,0,2,2,2,515.8718729000539,,,,,,,,,,,,,,,5768645-uhd_3840_2160_25fps.mp4,AI Generated,515.8563912999816,520.8556730999844,520.855731699965,520.8722147999797,521.3562528999755,521.8597426000051,521.9368325000396,521.9368325000396,642.0441280000377,648.2415263999719,space,126.2868437001016,None,648.3575670999708,648.3622956000036,648.3622956000036,653.8257527999813,3,5.447097199968994,None,653.8259286000393,653.8414344999474,653.8414344999474,660.9589266000548,4,7.109698300017044,None,660.9590437000152,660.9746082000202,660.9746082000202,667.4423336000182,2,6.457199599943124,None,667.4441800999921,667.4641384000424,671.6247825999744,4.0,4.164632899919525,521.9368325000396,,,,,,,18,001,2025-11-19_14h27.10.041,manipulation-of-belief,,2025.1.1,2025-11-19 14h27.28.037360 +0100,
4,3,3,0,11946387_3840_2160_30fps.mp4,Human Generated,space,125.86947220005095,None,5,4.822793300030753,None,1,2.1977384999627247,None,3,3.4663696999195963,None,5.0,3.330701300059445,0,3,3,3,671.6410611999454,,,,,,,,,,,,,,,11946387_3840_2160_30fps.mp4,Human Generated,671.6250416999683,676.6250580999767,676.6251761999447,676.6409853999503,677.1248490000144,677.5917948000133,677.6697131999535,677.6697131999535,797.7168470999459,803.5434441999532,space,125.86947220005095,None,803.6696781000355,803.6762520000339,803.6762520000339,808.5106776000466,5,4.822793300030753,None,808.510824500001,808.5272979999427,808.5272979999427,810.728019000031,1,2.1977384999627247,None,810.7281442000531,810.743590899976,810.743590899976,814.2278521000408,3,3.4663696999195963,None,814.2301625000546,814.2479879000457,817.5772303999402,5.0,3.330701300059445,677.6697131999535,,,,,,,18,001,2025-11-19_14h27.10.041,manipulation-of-belief,,2025.1.1,2025-11-19 14h27.28.037360 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,817.5784431999782,817.5928738999646,826.4103318999987,3.0,8.816346099949442,,18,001,2025-11-19_14h27.10.041,manipulation-of-belief,,2025.1.1,2025-11-19 14h27.28.037360 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1763559674.42076,,,,,,,,
