participant_id,AI Generated,Human Generated,diff
1,10.62002644526574,5.006598100921746,5.613428344343994
2,3.5780884126280545,9.311638297373563,-5.733549884745508
3,6.638202438465545,8.779479049474412,-2.141276611008867
4,8.045194936218975,8.63625259438912,-0.5910576581701452
5,34.00838303740022,32.273139223308455,1.735243814091767
6,26.066009447166767,31.944025580177858,-5.878016133011091
7,63.784274682457806,88.17553113453864,-24.39125645208084
8,36.96640331518256,33.20763698885154,3.7587663263310205
10,33.87083848029961,34.2066475976157,-0.33580911731608865
11,30.77581164883854,28.057622706337703,2.718188942500838
12,11.164131796470617,10.807789503470488,0.35634229300012876
13,12.046111672322635,10.197509097396882,1.8486025749257529
14,18.90075278578289,22.850474806080385,-3.9497220202974965
15,14.912520095810155,18.14072507729255,-3.2282049814823957
16,72.46898049891801,72.52225788128953,-0.05327738237151891
17,68.22878661779463,73.8721512839974,-5.643364666202771
18,73.51740439422232,40.14442362263145,33.372980771590875
19,59.5919235920966,64.98921898520406,-5.397295393107463
20,74.62428835332483,68.50966590006638,6.114622453258448
21,73.00451763573312,68.56659968718841,4.437917948544708
22,60.439245993475026,73.87232325720547,-13.43307726373044
23,19.112990629584516,21.897275065773513,-2.7842844361889973
