Participant ID: 10
Start time: 2025-11-13 16:28:00
End time: 2025-11-13 16:41:00

RR,ArtifactCorrectedRR,RawArtifact,ts
690.0,825,3,2025-11-13 16:28:00.000
478.0,825,3,2025-11-13 16:28:00.825
375.0,825,3,2025-11-13 16:28:01.650
404.0,825,3,2025-11-13 16:28:02.475
485.0,825,3,2025-11-13 16:28:03.300
265.0,825,3,2025-11-13 16:28:04.125
561.0,825,3,2025-11-13 16:28:04.950
2995.0,825,3,2025-11-13 16:28:05.775
577.0,825,3,2025-11-13 16:28:06.600
498.0,825,3,2025-11-13 16:28:07.425
347.0,825,3,2025-11-13 16:28:08.250
2813.0,825,3,2025-11-13 16:28:09.075
425.0,825,3,2025-11-13 16:28:09.900
672.0,825,3,2025-11-13 16:28:10.725
265.0,825,3,2025-11-13 16:28:11.550
267.0,852,0,2025-11-13 16:28:12.402
255.0,816,2,2025-11-13 16:28:13.218
852.0,812,2,2025-11-13 16:28:14.030
1212.0,808,2,2025-11-13 16:28:14.838
525.0,805,2,2025-11-13 16:28:15.643
580.0,801,2,2025-11-13 16:28:16.444
491.0,797,2,2025-11-13 16:28:17.241
1629.0,793,2,2025-11-13 16:28:18.034
823.0,822,0,2025-11-13 16:28:18.856
372.0,784,2,2025-11-13 16:28:19.640
822.0,784,2,2025-11-13 16:28:20.424
318.0,825,0,2025-11-13 16:28:21.249
1250.0,821,2,2025-11-13 16:28:22.070
825.0,816,2,2025-11-13 16:28:22.886
240.0,812,2,2025-11-13 16:28:23.698
3016.0,807,2,2025-11-13 16:28:24.505
802.0,802,0,2025-11-13 16:28:25.307
779.0,779,0,2025-11-13 16:28:26.086
694.0,694,0,2025-11-13 16:28:26.780
658.0,658,0,2025-11-13 16:28:27.438
654.0,654,0,2025-11-13 16:28:28.092
644.0,644,0,2025-11-13 16:28:28.736
699.0,699,0,2025-11-13 16:28:29.435
832.0,832,1,2025-11-13 16:28:30.267
773.0,773,0,2025-11-13 16:28:31.040
794.0,794,0,2025-11-13 16:28:31.834
801.0,801,0,2025-11-13 16:28:32.635
773.0,773,0,2025-11-13 16:28:33.408
783.0,783,0,2025-11-13 16:28:34.191
792.0,792,0,2025-11-13 16:28:34.983
726.0,726,0,2025-11-13 16:28:35.709
751.0,751,0,2025-11-13 16:28:36.460
740.0,740,0,2025-11-13 16:28:37.200
776.0,776,0,2025-11-13 16:28:37.976
783.0,783,0,2025-11-13 16:28:38.759
724.0,724,0,2025-11-13 16:28:39.483
722.0,722,0,2025-11-13 16:28:40.205
742.0,742,0,2025-11-13 16:28:40.947
734.0,734,0,2025-11-13 16:28:41.681
679.0,679,0,2025-11-13 16:28:42.360
690.0,690,0,2025-11-13 16:28:43.050
658.0,658,0,2025-11-13 16:28:43.708
678.0,678,0,2025-11-13 16:28:44.386
665.0,665,0,2025-11-13 16:28:45.051
650.0,650,0,2025-11-13 16:28:45.701
660.0,660,0,2025-11-13 16:28:46.361
666.0,666,0,2025-11-13 16:28:47.027
633.0,633,0,2025-11-13 16:28:47.660
629.0,629,0,2025-11-13 16:28:48.289
615.0,615,0,2025-11-13 16:28:48.904
617.0,617,0,2025-11-13 16:28:49.521
650.0,650,0,2025-11-13 16:28:50.171
652.0,652,0,2025-11-13 16:28:50.823
697.0,697,0,2025-11-13 16:28:51.520
713.0,713,0,2025-11-13 16:28:52.233
695.0,695,0,2025-11-13 16:28:52.928
732.0,732,0,2025-11-13 16:28:53.660
771.0,771,0,2025-11-13 16:28:54.431
797.0,797,0,2025-11-13 16:28:55.228
822.0,822,0,2025-11-13 16:28:56.050
841.0,841,0,2025-11-13 16:28:56.891
828.0,828,0,2025-11-13 16:28:57.719
807.0,807,0,2025-11-13 16:28:58.526
771.0,771,0,2025-11-13 16:28:59.297
757.0,757,0,2025-11-13 16:29:00.054
731.0,731,0,2025-11-13 16:29:00.785
677.0,677,0,2025-11-13 16:29:01.462
702.0,702,0,2025-11-13 16:29:02.164
746.0,746,0,2025-11-13 16:29:02.910
718.0,718,0,2025-11-13 16:29:03.628
810.0,810,0,2025-11-13 16:29:04.438
904.0,904,0,2025-11-13 16:29:05.342
922.0,922,0,2025-11-13 16:29:06.264
840.0,840,0,2025-11-13 16:29:07.104
866.0,866,0,2025-11-13 16:29:07.970
866.0,866,0,2025-11-13 16:29:08.836
860.0,860,0,2025-11-13 16:29:09.696
837.0,837,0,2025-11-13 16:29:10.533
764.0,764,0,2025-11-13 16:29:11.297
764.0,764,0,2025-11-13 16:29:12.061
752.0,752,0,2025-11-13 16:29:12.813
722.0,722,0,2025-11-13 16:29:13.535
744.0,744,0,2025-11-13 16:29:14.279
798.0,798,0,2025-11-13 16:29:15.077
820.0,820,0,2025-11-13 16:29:15.897
796.0,796,0,2025-11-13 16:29:16.693
846.0,846,0,2025-11-13 16:29:17.539
886.0,886,0,2025-11-13 16:29:18.425
886.0,886,0,2025-11-13 16:29:19.311
786.0,786,0,2025-11-13 16:29:20.097
812.0,812,0,2025-11-13 16:29:20.909
817.0,817,0,2025-11-13 16:29:21.726
813.0,813,0,2025-11-13 16:29:22.539
767.0,767,0,2025-11-13 16:29:23.306
789.0,789,0,2025-11-13 16:29:24.095
795.0,795,0,2025-11-13 16:29:24.890
739.0,739,0,2025-11-13 16:29:25.629
770.0,770,0,2025-11-13 16:29:26.399
779.0,779,0,2025-11-13 16:29:27.178
743.0,743,0,2025-11-13 16:29:27.921
775.0,775,0,2025-11-13 16:29:28.696
795.0,795,0,2025-11-13 16:29:29.491
760.0,760,0,2025-11-13 16:29:30.251
757.0,757,0,2025-11-13 16:29:31.008
799.0,799,0,2025-11-13 16:29:31.807
773.0,773,0,2025-11-13 16:29:32.580
838.0,838,0,2025-11-13 16:29:33.418
859.0,859,0,2025-11-13 16:29:34.277
840.0,840,0,2025-11-13 16:29:35.117
855.0,855,0,2025-11-13 16:29:35.972
852.0,852,0,2025-11-13 16:29:36.824
819.0,819,0,2025-11-13 16:29:37.643
848.0,848,0,2025-11-13 16:29:38.491
855.0,855,0,2025-11-13 16:29:39.346
836.0,836,0,2025-11-13 16:29:40.182
783.0,783,0,2025-11-13 16:29:40.965
788.0,788,0,2025-11-13 16:29:41.753
826.0,826,0,2025-11-13 16:29:42.579
863.0,863,0,2025-11-13 16:29:43.442
846.0,846,0,2025-11-13 16:29:44.288
773.0,773,0,2025-11-13 16:29:45.061
705.0,705,0,2025-11-13 16:29:45.766
730.0,730,0,2025-11-13 16:29:46.496
775.0,775,0,2025-11-13 16:29:47.271
829.0,829,0,2025-11-13 16:29:48.100
782.0,782,0,2025-11-13 16:29:48.882
746.0,746,0,2025-11-13 16:29:49.628
775.0,775,0,2025-11-13 16:29:50.403
788.0,788,0,2025-11-13 16:29:51.191
729.0,729,0,2025-11-13 16:29:51.920
770.0,770,0,2025-11-13 16:29:52.690
788.0,788,0,2025-11-13 16:29:53.478
814.0,814,0,2025-11-13 16:29:54.292
788.0,788,0,2025-11-13 16:29:55.080
795.0,795,0,2025-11-13 16:29:55.875
839.0,839,0,2025-11-13 16:29:56.714
848.0,848,0,2025-11-13 16:29:57.562
794.0,794,0,2025-11-13 16:29:58.356
818.0,818,0,2025-11-13 16:29:59.174
833.0,833,0,2025-11-13 16:30:00.007
844.0,844,0,2025-11-13 16:30:00.851
790.0,790,0,2025-11-13 16:30:01.641
784.0,784,0,2025-11-13 16:30:02.425
717.0,717,0,2025-11-13 16:30:03.142
747.0,747,0,2025-11-13 16:30:03.889
829.0,829,0,2025-11-13 16:30:04.718
971.0,971,0,2025-11-13 16:30:05.689
924.0,924,0,2025-11-13 16:30:06.613
886.0,886,0,2025-11-13 16:30:07.499
922.0,922,0,2025-11-13 16:30:08.421
920.0,920,0,2025-11-13 16:30:09.341
866.0,866,0,2025-11-13 16:30:10.207
847.0,847,0,2025-11-13 16:30:11.054
840.0,840,0,2025-11-13 16:30:11.894
797.0,797,0,2025-11-13 16:30:12.691
799.0,799,0,2025-11-13 16:30:13.490
816.0,816,0,2025-11-13 16:30:14.306
833.0,833,0,2025-11-13 16:30:15.139
794.0,794,0,2025-11-13 16:30:15.933
841.0,841,0,2025-11-13 16:30:16.774
865.0,865,0,2025-11-13 16:30:17.639
870.0,870,0,2025-11-13 16:30:18.509
843.0,843,0,2025-11-13 16:30:19.352
861.0,861,0,2025-11-13 16:30:20.213
866.0,866,0,2025-11-13 16:30:21.079
829.0,829,0,2025-11-13 16:30:21.908
745.0,745,0,2025-11-13 16:30:22.653
728.0,728,0,2025-11-13 16:30:23.381
770.0,770,0,2025-11-13 16:30:24.151
846.0,846,0,2025-11-13 16:30:24.997
901.0,901,0,2025-11-13 16:30:25.898
907.0,907,0,2025-11-13 16:30:26.805
873.0,873,0,2025-11-13 16:30:27.678
888.0,888,0,2025-11-13 16:30:28.566
878.0,878,0,2025-11-13 16:30:29.444
824.0,824,0,2025-11-13 16:30:30.268
834.0,834,0,2025-11-13 16:30:31.102
820.0,820,0,2025-11-13 16:30:31.922
746.0,746,0,2025-11-13 16:30:32.668
767.0,767,0,2025-11-13 16:30:33.435
798.0,798,0,2025-11-13 16:30:34.233
887.0,887,0,2025-11-13 16:30:35.120
860.0,860,0,2025-11-13 16:30:35.980
892.0,892,0,2025-11-13 16:30:36.872
904.0,904,0,2025-11-13 16:30:37.776
891.0,891,0,2025-11-13 16:30:38.667
850.0,850,0,2025-11-13 16:30:39.517
852.0,852,0,2025-11-13 16:30:40.369
815.0,815,0,2025-11-13 16:30:41.184
767.0,767,0,2025-11-13 16:30:41.951
768.0,768,0,2025-11-13 16:30:42.719
776.0,776,0,2025-11-13 16:30:43.495
740.0,740,0,2025-11-13 16:30:44.235
770.0,770,0,2025-11-13 16:30:45.005
817.0,817,0,2025-11-13 16:30:45.822
831.0,831,0,2025-11-13 16:30:46.653
775.0,775,0,2025-11-13 16:30:47.428
819.0,819,0,2025-11-13 16:30:48.247
833.0,833,0,2025-11-13 16:30:49.080
851.0,851,0,2025-11-13 16:30:49.931
814.0,814,0,2025-11-13 16:30:50.745
844.0,844,0,2025-11-13 16:30:51.589
851.0,851,0,2025-11-13 16:30:52.440
809.0,809,0,2025-11-13 16:30:53.249
783.0,783,0,2025-11-13 16:30:54.032
794.0,794,0,2025-11-13 16:30:54.826
807.0,807,0,2025-11-13 16:30:55.633
813.0,813,0,2025-11-13 16:30:56.446
784.0,784,0,2025-11-13 16:30:57.230
836.0,836,0,2025-11-13 16:30:58.066
858.0,858,0,2025-11-13 16:30:58.924
861.0,861,0,2025-11-13 16:30:59.785
799.0,799,0,2025-11-13 16:31:00.584
782.0,782,0,2025-11-13 16:31:01.366
818.0,818,0,2025-11-13 16:31:02.184
838.0,838,0,2025-11-13 16:31:03.022
380.0,799,3,2025-11-13 16:31:03.821
419.0,762,0,2025-11-13 16:31:04.583
762.0,803,0,2025-11-13 16:31:05.386
803.0,823,0,2025-11-13 16:31:06.209
823.0,843,0,2025-11-13 16:31:07.052
843.0,815,0,2025-11-13 16:31:07.867
815.0,805,0,2025-11-13 16:31:08.672
805.0,810,0,2025-11-13 16:31:09.482
810.0,816,0,2025-11-13 16:31:10.298
816.0,790,0,2025-11-13 16:31:11.088
790.0,810,0,2025-11-13 16:31:11.898
810.0,813,0,2025-11-13 16:31:12.711
813.0,771,0,2025-11-13 16:31:13.482
771.0,793,0,2025-11-13 16:31:14.275
793.0,794,0,2025-11-13 16:31:15.069
794.0,778,0,2025-11-13 16:31:15.847
778.0,762,0,2025-11-13 16:31:16.609
762.0,786,0,2025-11-13 16:31:17.395
786.0,788,0,2025-11-13 16:31:18.183
788.0,771,0,2025-11-13 16:31:18.954
771.0,781,0,2025-11-13 16:31:19.735
781.0,801,0,2025-11-13 16:31:20.536
801.0,795,0,2025-11-13 16:31:21.331
795.0,728,0,2025-11-13 16:31:22.059
728.0,760,0,2025-11-13 16:31:22.819
760.0,746,0,2025-11-13 16:31:23.565
746.0,700,0,2025-11-13 16:31:24.265
700.0,664,0,2025-11-13 16:31:24.929
664.0,679,0,2025-11-13 16:31:25.608
679.0,716,0,2025-11-13 16:31:26.324
716.0,750,0,2025-11-13 16:31:27.074
750.0,725,0,2025-11-13 16:31:27.799
725.0,701,0,2025-11-13 16:31:28.500
701.0,756,0,2025-11-13 16:31:29.256
756.0,799,0,2025-11-13 16:31:30.055
799.0,847,0,2025-11-13 16:31:30.902
847.0,828,0,2025-11-13 16:31:31.730
828.0,820,0,2025-11-13 16:31:32.550
820.0,811,0,2025-11-13 16:31:33.361
811.0,774,0,2025-11-13 16:31:34.135
774.0,742,0,2025-11-13 16:31:34.877
742.0,760,0,2025-11-13 16:31:35.637
760.0,790,0,2025-11-13 16:31:36.427
790.0,840,0,2025-11-13 16:31:37.267
840.0,818,0,2025-11-13 16:31:38.085
818.0,870,0,2025-11-13 16:31:38.955
870.0,886,0,2025-11-13 16:31:39.841
886.0,853,0,2025-11-13 16:31:40.694
853.0,861,0,2025-11-13 16:31:41.555
861.0,853,0,2025-11-13 16:31:42.408
853.0,821,0,2025-11-13 16:31:43.229
821.0,844,0,2025-11-13 16:31:44.073
844.0,858,0,2025-11-13 16:31:44.931
858.0,825,0,2025-11-13 16:31:45.756
825.0,843,0,2025-11-13 16:31:46.599
843.0,861,0,2025-11-13 16:31:47.460
861.0,891,0,2025-11-13 16:31:48.351
891.0,842,0,2025-11-13 16:31:49.193
842.0,850,0,2025-11-13 16:31:50.043
850.0,853,0,2025-11-13 16:31:50.896
853.0,840,0,2025-11-13 16:31:51.736
840.0,795,0,2025-11-13 16:31:52.531
795.0,821,0,2025-11-13 16:31:53.352
821.0,840,0,2025-11-13 16:31:54.192
840.0,850,0,2025-11-13 16:31:55.042
850.0,813,0,2025-11-13 16:31:55.855
813.0,848,0,2025-11-13 16:31:56.703
848.0,867,0,2025-11-13 16:31:57.570
867.0,848,0,2025-11-13 16:31:58.418
848.0,842,0,2025-11-13 16:31:59.260
842.0,844,0,2025-11-13 16:32:00.104
844.0,840,0,2025-11-13 16:32:00.944
840.0,791,0,2025-11-13 16:32:01.735
791.0,697,0,2025-11-13 16:32:02.432
697.0,724,0,2025-11-13 16:32:03.156
724.0,777,0,2025-11-13 16:32:03.933
777.0,881,0,2025-11-13 16:32:04.814
881.0,964,0,2025-11-13 16:32:05.778
964.0,976,0,2025-11-13 16:32:06.754
976.0,941,0,2025-11-13 16:32:07.695
941.0,867,0,2025-11-13 16:32:08.562
