Participant ID: 11
Start time: 2025-11-14 15:38:00
End time: 2025-11-14 16:01:00

RR,ArtifactCorrectedRR,RawArtifact,ts
1514.0,1023,3,2025-11-14 15:38:00.000
485.0,1023,3,2025-11-14 15:38:01.023
636.0,1023,3,2025-11-14 15:38:02.046
433.0,1014,0,2025-11-14 15:38:03.060
1014.0,778,0,2025-11-14 15:38:03.838
778.0,780,0,2025-11-14 15:38:04.618
780.0,706,0,2025-11-14 15:38:05.324
706.0,753,2,2025-11-14 15:38:06.077
1171.0,760,2,2025-11-14 15:38:06.837
3445.0,766,2,2025-11-14 15:38:07.603
406.0,773,2,2025-11-14 15:38:08.376
401.0,780,2,2025-11-14 15:38:09.156
456.0,787,2,2025-11-14 15:38:09.943
334.0,794,2,2025-11-14 15:38:10.737
767.0,800,2,2025-11-14 15:38:11.537
785.0,767,0,2025-11-14 15:38:12.304
548.0,785,0,2025-11-14 15:38:13.089
259.0,821,3,2025-11-14 15:38:13.910
426.0,823,3,2025-11-14 15:38:14.733
417.0,824,3,2025-11-14 15:38:15.557
240.0,826,3,2025-11-14 15:38:16.383
400.0,827,3,2025-11-14 15:38:17.210
477.0,794,0,2025-11-14 15:38:18.004
774.0,792,0,2025-11-14 15:38:18.796
580.0,815,3,2025-11-14 15:38:19.611
794.0,819,3,2025-11-14 15:38:20.430
792.0,824,3,2025-11-14 15:38:21.254
600.0,828,3,2025-11-14 15:38:22.082
414.0,815,0,2025-11-14 15:38:22.897
345.0,821,3,2025-11-14 15:38:23.718
851.0,827,3,2025-11-14 15:38:24.545
817.0,833,3,2025-11-14 15:38:25.378
259.0,839,3,2025-11-14 15:38:26.217
815.0,844,3,2025-11-14 15:38:27.061
368.0,850,3,2025-11-14 15:38:27.911
276.0,856,3,2025-11-14 15:38:28.767
721.0,862,3,2025-11-14 15:38:29.629
265.0,868,3,2025-11-14 15:38:30.497
526.0,873,3,2025-11-14 15:38:31.370
563.0,879,3,2025-11-14 15:38:32.249
1774.0,885,3,2025-11-14 15:38:33.134
355.0,891,3,2025-11-14 15:38:34.025
356.0,896,0,2025-11-14 15:38:34.921
1652.0,890,0,2025-11-14 15:38:35.811
1519.0,916,2,2025-11-14 15:38:36.727
1109.0,908,2,2025-11-14 15:38:37.635
383.0,900,2,2025-11-14 15:38:38.535
449.0,893,2,2025-11-14 15:38:39.428
282.0,885,2,2025-11-14 15:38:40.313
530.0,877,2,2025-11-14 15:38:41.190
896.0,869,2,2025-11-14 15:38:42.059
890.0,862,2,2025-11-14 15:38:42.921
454.0,854,2,2025-11-14 15:38:43.775
2568.0,813,0,2025-11-14 15:38:44.588
3287.0,824,0,2025-11-14 15:38:45.412
581.0,845,0,2025-11-14 15:38:46.257
240.0,846,0,2025-11-14 15:38:47.103
484.0,831,0,2025-11-14 15:38:47.934
350.0,787,0,2025-11-14 15:38:48.721
813.0,782,0,2025-11-14 15:38:49.503
824.0,801,0,2025-11-14 15:38:50.304
845.0,816,0,2025-11-14 15:38:51.120
846.0,789,0,2025-11-14 15:38:51.909
831.0,800,3,2025-11-14 15:38:52.709
787.0,791,0,2025-11-14 15:38:53.500
782.0,857,0,2025-11-14 15:38:54.357
801.0,722,0,2025-11-14 15:38:55.079
816.0,802,3,2025-11-14 15:38:55.881
789.0,767,0,2025-11-14 15:38:56.648
264.0,779,0,2025-11-14 15:38:57.427
536.0,783,0,2025-11-14 15:38:58.210
791.0,771,0,2025-11-14 15:38:58.981
857.0,615,3,2025-11-14 15:38:59.596
722.0,601,3,2025-11-14 15:39:00.197
261.0,728,0,2025-11-14 15:39:00.925
541.0,711,3,2025-11-14 15:39:01.636
767.0,703,3,2025-11-14 15:39:02.339
779.0,696,3,2025-11-14 15:39:03.035
783.0,688,3,2025-11-14 15:39:03.723
771.0,689,0,2025-11-14 15:39:04.412
558.0,674,3,2025-11-14 15:39:05.086
331.0,675,3,2025-11-14 15:39:05.761
327.0,675,3,2025-11-14 15:39:06.436
728.0,676,3,2025-11-14 15:39:07.112
337.0,677,3,2025-11-14 15:39:07.789
865.0,678,3,2025-11-14 15:39:08.467
926.0,678,3,2025-11-14 15:39:09.145
300.0,679,3,2025-11-14 15:39:09.824
370.0,680,3,2025-11-14 15:39:10.504
689.0,680,3,2025-11-14 15:39:11.184
241.0,681,3,2025-11-14 15:39:11.865
381.0,682,3,2025-11-14 15:39:12.547
1940.0,683,3,2025-11-14 15:39:13.230
361.0,683,3,2025-11-14 15:39:13.913
275.0,684,3,2025-11-14 15:39:14.597
1071.0,685,3,2025-11-14 15:39:15.282
500.0,686,3,2025-11-14 15:39:15.968
532.0,686,3,2025-11-14 15:39:16.654
583.0,687,3,2025-11-14 15:39:17.341
258.0,688,3,2025-11-14 15:39:18.029
300.0,688,3,2025-11-14 15:39:18.717
456.0,705,0,2025-11-14 15:39:19.422
741.0,698,3,2025-11-14 15:39:20.120
810.0,702,3,2025-11-14 15:39:20.822
2322.0,706,3,2025-11-14 15:39:21.528
705.0,711,3,2025-11-14 15:39:22.239
447.0,715,3,2025-11-14 15:39:22.954
663.0,719,3,2025-11-14 15:39:23.673
393.0,724,3,2025-11-14 15:39:24.397
440.0,728,3,2025-11-14 15:39:25.125
572.0,732,3,2025-11-14 15:39:25.857
314.0,737,3,2025-11-14 15:39:26.594
705.0,741,3,2025-11-14 15:39:27.335
492.0,745,3,2025-11-14 15:39:28.080
292.0,750,3,2025-11-14 15:39:28.830
792.0,754,3,2025-11-14 15:39:29.584
354.0,758,3,2025-11-14 15:39:30.342
385.0,763,3,2025-11-14 15:39:31.105
383.0,767,3,2025-11-14 15:39:31.872
521.0,771,3,2025-11-14 15:39:32.643
753.0,775,3,2025-11-14 15:39:33.418
339.0,780,3,2025-11-14 15:39:34.198
457.0,784,3,2025-11-14 15:39:34.982
388.0,800,0,2025-11-14 15:39:35.782
244.0,747,0,2025-11-14 15:39:36.529
291.0,719,2,2025-11-14 15:39:37.248
510.0,723,2,2025-11-14 15:39:37.971
1013.0,728,2,2025-11-14 15:39:38.699
597.0,732,2,2025-11-14 15:39:39.431
631.0,737,2,2025-11-14 15:39:40.168
459.0,741,2,2025-11-14 15:39:40.909
3637.0,746,2,2025-11-14 15:39:41.655
286.0,750,2,2025-11-14 15:39:42.405
273.0,755,2,2025-11-14 15:39:43.160
488.0,792,0,2025-11-14 15:39:43.952
1975.0,831,0,2025-11-14 15:39:44.783
800.0,1031,2,2025-11-14 15:39:45.814
747.0,1054,2,2025-11-14 15:39:46.868
3473.0,901,0,2025-11-14 15:39:47.769
245.0,762,0,2025-11-14 15:39:48.531
541.0,764,0,2025-11-14 15:39:49.295
447.0,752,0,2025-11-14 15:39:50.047
426.0,758,0,2025-11-14 15:39:50.805
432.0,764,0,2025-11-14 15:39:51.569
277.0,768,0,2025-11-14 15:39:52.337
336.0,733,0,2025-11-14 15:39:53.070
