video_index,thisN,thisTrialN,thisRepN,video_id,belief,skip_video.keys,rating_sam_1.keys,rating_sam_1.rt,rating_sam_1.duration,rating_sam_2.keys,rating_sam_2.rt,rating_sam_2.duration,rating_sam_3.keys,rating_sam_3.rt,rating_sam_3.duration,focus_slider.response,focus_slider.rt,skip_video.rt,skip_video.duration,stimuli.thisRepN,stimuli.thisTrialN,stimuli.thisN,stimuli.thisIndex,thisRow.t,notes,expStartTime,r_instructions.started,key_instruct.started,r_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,r_baseline.started,skip_baseline.started,r_baseline.stopped,skip_baseline.keys,skip_baseline.rt,skip_baseline.duration,stimuli.video_id,stimuli.belief,r_preparation.started,r_preparation.stopped,r_fixation.started,fixation_cross.started,r_fixation.stopped,r_video.started,video.started,skip_video.started,video.stopped,r_video.stopped,stimuli.skip_video.keys,r_SAM_1.started,question_sam_1.started,rating_sam_1.started,r_SAM_1.stopped,stimuli.rating_sam_1.keys,stimuli.rating_sam_1.rt,stimuli.rating_sam_1.duration,r_SAM_2.started,question_sam_2.started,rating_sam_2.started,r_SAM_2.stopped,stimuli.rating_sam_2.keys,stimuli.rating_sam_2.rt,stimuli.rating_sam_2.duration,r_SAM_3.started,question_sam_3.started,rating_sam_3.started,r_SAM_3.stopped,stimuli.rating_sam_3.keys,stimuli.rating_sam_3.rt,stimuli.rating_sam_3.duration,r_focus_questionnaire.started,focus_slider.started,r_focus_questionnaire.stopped,stimuli.focus_slider.response,stimuli.focus_slider.rt,stimuli.skip_video.rt,stimuli.skip_video.duration,r_final_questionnaire.started,opinion_slider.started,r_final_questionnaire.stopped,opinion_slider.response,opinion_slider.rt,expEndTime,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,1763036854.602343,0.029941500004497357,0.053867400012677535,32.131046400012565,space,32.05310739998822,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2025-11-13_13h27.26.156,manipulation-of-belief,,2025.1.1,2025-11-13 13h27.35.396197 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.13114930001029,32.15805340000952,169.82935660000658,space,137.66641400000663,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2025-11-13_13h27.26.156,manipulation-of-belief,,2025.1.1,2025-11-13 13h27.35.396197 +0100,
1,0,0,0,4171487-uhd_3840_2160_30fps.mp4,Human Generated,None,5,9.006793099993956,None,2,11.21298999999999,None,3,7.025753599999007,None,3.0,19.88288809999358,,,0,0,0,0,169.8951659000013,,,,,,,,,,,,,,,4171487-uhd_3840_2160_30fps.mp4,Human Generated,169.87416620001022,174.84513750000042,174.84520530000736,174.86419849999947,175.83202100000926,176.18194400001084,176.24510500000906,176.24510500000906,288.57676720000745,288.43319340000744,None,288.56869880000886,288.57676720000745,288.57676720000745,297.5949285000097,5,9.006793099993956,None,297.59502020000946,297.61092220000864,297.61092220000864,308.82910520001315,2,11.21298999999999,None,308.82923700001265,308.84498890000395,308.84498890000395,315.878523700012,3,7.025753599999007,None,315.8805958000012,315.90488680001,335.7783708000061,3.0,19.88288809999358,,,,,,,,,5,001,2025-11-13_13h27.26.156,manipulation-of-belief,,2025.1.1,2025-11-13 13h27.35.396197 +0100,
2,1,1,0,18840567-hd_1920_1080_30fps.mp4,AI Generated,space,2,9.48563660000218,None,4,9.921753599992371,None,3,18.135550199993304,None,5.0,6.164135300001362,107.909092899994,None,0,1,1,1,335.79456170000776,,,,,,,,,,,,,,,18840567-hd_1920_1080_30fps.mp4,AI Generated,335.7786302000022,340.77862320000713,340.7786998000083,340.79721340000106,341.7808299000026,342.1025731000118,342.1614983000036,342.1614983000036,445.58025009999983,450.07761390000815,space,450.20002060000843,450.2047806000046,450.2047806000046,459.6950603000005,2,9.48563660000218,None,459.6951779000083,459.7112277000124,459.7112277000124,469.64532220001274,4,9.921753599992371,None,469.6454406000121,469.6614808000013,469.6614808000013,487.8124814000039,3,18.135550199993304,None,487.8148174000089,487.8289591000066,493.99478900000395,5.0,6.164135300001362,107.909092899994,None,,,,,,,5,001,2025-11-13_13h27.26.156,manipulation-of-belief,,2025.1.1,2025-11-13 13h27.35.396197 +0100,
3,2,2,0,11946387_3840_2160_30fps.mp4,AI Generated,space,3,11.14233059999242,None,2,7.446700799991959,None,4,12.44818540000415,None,5.0,10.147642899988568,124.05606109999644,None,0,2,2,2,494.0109167000046,,,,,,,,,,,,,,,11946387_3840_2160_30fps.mp4,AI Generated,493.9950496000092,498.99518030000036,498.9952622000128,499.01380100000824,499.99827030001325,500.38832040000125,500.4553370000067,500.4553370000067,620.5146988000051,624.5172829000076,space,624.6391543000063,624.6441140000097,624.6441140000097,635.801123199999,3,11.14233059999242,None,635.8012234000053,635.8175494000025,635.8175494000025,643.2681215000048,2,7.446700799991959,None,643.268292400011,643.2840619000053,643.2840619000053,655.7361349999992,4,12.44818540000415,None,655.7396284999995,655.7547419000039,665.9012767000095,5.0,10.147642899988568,124.05606109999644,None,,,,,,,5,001,2025-11-13_13h27.26.156,manipulation-of-belief,,2025.1.1,2025-11-13 13h27.35.396197 +0100,
4,3,3,0,5768645-uhd_3840_2160_25fps.mp4,Human Generated,space,3,3.4391251000051852,None,4,11.539875100002973,None,3,6.484777099991334,None,2.0,6.596885299994028,122.40106000000378,None,0,3,3,3,665.9170489000098,,,,,,,,,,,,,,,5768645-uhd_3840_2160_25fps.mp4,Human Generated,665.9015164000011,670.901565600012,670.9016431000055,670.9203044000024,671.9038954999996,672.4408850000036,672.5102423000062,672.5102423000062,792.6257983000105,794.921419700011,space,795.0483115000097,795.0523116000113,795.0523116000113,798.505388000005,3,3.4391251000051852,None,798.5055673000024,798.5216064000124,798.5216064000124,810.0724511000008,4,11.539875100002973,None,810.0725684000063,810.0884258000006,810.0884258000006,816.589490000013,3,6.484777099991334,None,816.5921877000073,816.6077822000079,823.2048155000084,2.0,6.596885299994028,122.40106000000378,None,,,,,,,5,001,2025-11-13_13h27.26.156,manipulation-of-belief,,2025.1.1,2025-11-13 13h27.35.396197 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,823.2060850000125,823.2236221000057,829.2561907000054,1.0,6.035570799998823,,5,001,2025-11-13_13h27.26.156,manipulation-of-belief,,2025.1.1,2025-11-13 13h27.35.396197 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1763037684.62208,,,,,,,,
