video_index,thisN,thisTrialN,thisRepN,video_id,belief,skip_video.keys,skip_video.rt,skip_video.duration,rating_sam_1.keys,rating_sam_1.rt,rating_sam_1.duration,rating_sam_2.keys,rating_sam_2.rt,rating_sam_2.duration,rating_sam_3.keys,rating_sam_3.rt,rating_sam_3.duration,focus_slider.response,focus_slider.rt,stimuli.thisRepN,stimuli.thisTrialN,stimuli.thisN,stimuli.thisIndex,thisRow.t,notes,expStartTime,r_instructions.started,key_instruct.started,r_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,r_baseline.started,skip_baseline.started,r_baseline.stopped,skip_baseline.keys,skip_baseline.rt,skip_baseline.duration,stimuli.video_id,stimuli.belief,r_preparation.started,r_preparation.stopped,r_fix.started,polygon.started,polygon.stopped,r_fix.stopped,r_video.started,video.started,skip_video.started,video.stopped,r_video.stopped,stimuli.skip_video.keys,stimuli.skip_video.rt,stimuli.skip_video.duration,r_SAM_1.started,question_sam_1.started,rating_sam_1.started,r_SAM_1.stopped,stimuli.rating_sam_1.keys,stimuli.rating_sam_1.rt,stimuli.rating_sam_1.duration,r_SAM_2.started,question_sam_2.started,rating_sam_2.started,r_SAM_2.stopped,stimuli.rating_sam_2.keys,stimuli.rating_sam_2.rt,stimuli.rating_sam_2.duration,r_SAM_3.started,question_sam_3.started,rating_sam_3.started,r_SAM_3.stopped,stimuli.rating_sam_3.keys,stimuli.rating_sam_3.rt,stimuli.rating_sam_3.duration,r_focus_questionnaire.started,focus_slider.started,r_focus_questionnaire.stopped,stimuli.focus_slider.response,stimuli.focus_slider.rt,r_final_questionnaire.started,opinion_slider.started,r_final_questionnaire.stopped,opinion_slider.response,opinion_slider.rt,expEndTime,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,1763560759.0160465,0.04003650008235127,0.06312830001115799,59.43257910001557,space,59.34666049992666,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,001,2025-11-19_14h59.12.610,manipulation-of-belief,,2025.1.1,2025-11-19 14h59.20.219368 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.43271750002168,59.460624400060624,195.26318190002348,space,135.79254040005617,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,001,2025-11-19_14h59.12.610,manipulation-of-belief,,2025.1.1,2025-11-19 14h59.20.219368 +0100,
1,0,0,0,18840567-hd_1920_1080_30fps.mp4,Human Generated,space,111.44027270004153,None,4,7.407278400030918,None,2,5.709345299983397,None,3,11.740107000106946,None,4.0,12.781769099994563,0,0,0,0,195.35906360007357,,,,,,,,,,,,,,,18840567-hd_1920_1080_30fps.mp4,Human Generated,195.33876290009357,200.26374190009665,200.26384840009268,200.27895619999617,201.2360585000133,200.76325310009997,201.17496770003345,201.2360585000133,201.2360585000133,304.64931780006737,312.6813710000133,space,111.44027270004153,None,312.8165587000549,312.83715320006013,312.83715320006013,320.2483912000898,4,7.407278400030918,None,320.2485074000433,320.2644124000799,320.2644124000799,325.982817000011,2,5.709345299983397,None,325.9829290000489,325.99828430009075,325.99828430009075,337.74929690000135,3,11.740107000106946,None,337.75135740009136,337.79600040009245,350.5488610001048,4.0,12.781769099994563,,,,,,,19,001,2025-11-19_14h59.12.610,manipulation-of-belief,,2025.1.1,2025-11-19 14h59.20.219368 +0100,
2,1,1,0,4171487-uhd_3840_2160_30fps.mp4,AI Generated,space,115.27157530002296,None,4,4.631183099932969,None,2,6.555667900014669,None,2,66.22086000000127,None,3.0,4.223658399889246,0,1,1,1,350.56519059999846,,,,,,,,,,,,,,,4171487-uhd_3840_2160_30fps.mp4,AI Generated,350.5491677999962,355.54936460009776,355.549495400046,355.5648008000571,356.8467401000671,356.04889370000456,356.7515826000599,356.8467401000671,356.8467401000671,469.0112685000058,472.11919280001894,space,115.27157530002296,None,472.23387310002,472.2471318000462,472.2471318000462,476.88480590004474,4,4.631183099932969,None,476.88495259999763,476.90054160007276,476.90054160007276,483.46721310005523,2,6.555667900014669,None,483.46729820000473,483.4833181001013,483.4833181001013,549.7195843000663,2,66.22086000000127,None,549.7219236000674,549.7425745000364,553.9596367001068,3.0,4.223658399889246,,,,,,,19,001,2025-11-19_14h59.12.610,manipulation-of-belief,,2025.1.1,2025-11-19 14h59.20.219368 +0100,
3,2,2,0,11946387_3840_2160_30fps.mp4,Human Generated,space,122.21246369997971,None,3,11.08251479989849,None,2,4.5527772000059485,None,2,4.676633200026117,None,3.0,5.064704500022344,0,2,2,2,553.9705096000107,,,,,,,,,,,,,,,11946387_3840_2160_30fps.mp4,Human Generated,553.9599268001039,558.96819220006,558.9682883000933,558.9843759000069,,559.4682476000162,560.0593924000859,560.1284693001071,560.1284693001071,680.1942263999954,682.3541721000802,space,122.21246369997971,None,682.4752717000665,682.4861756000901,682.4861756000901,693.5719594000839,3,11.08251479989849,None,693.5720786000602,693.586438300088,693.586438300088,698.1548853000859,2,4.5527772000059485,None,698.1550342000555,698.1703281000955,698.1703281000955,702.8550439000828,2,4.676633200026117,None,702.8571792000439,702.878878400079,707.9386379000498,3.0,5.064704500022344,,,,,,,19,001,2025-11-19_14h59.12.610,manipulation-of-belief,,2025.1.1,2025-11-19 14h59.20.219368 +0100,
4,3,3,0,5768645-uhd_3840_2160_25fps.mp4,AI Generated,space,125.04628260002937,None,3,9.096713699982502,None,3,7.375284799956717,None,3,5.160729499999434,None,2.0,2.581811900017783,0,3,3,3,707.9535295000533,,,,,,,,,,,,,,,5768645-uhd_3840_2160_25fps.mp4,AI Generated,707.9389208001085,712.9369032999966,712.937088000006,712.9529081000946,714.2308629000327,713.4367218000116,714.1533535000635,714.2308629000327,714.2308629000327,834.3398960001068,839.2900211000815,space,125.04628260002937,None,839.3935937000206,839.4101021999959,839.4101021999959,848.5078315000283,3,9.096713699982502,None,848.5079680000199,848.5228386000963,848.5228386000963,855.9074764000252,3,7.375284799956717,None,855.907658400014,855.9226524000987,855.9226524000987,861.0901925000362,3,5.160729499999434,None,861.0923209000612,861.11340380006,863.6897744000889,2.0,2.581811900017783,,,,,,,19,001,2025-11-19_14h59.12.610,manipulation-of-belief,,2025.1.1,2025-11-19 14h59.20.219368 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,863.6910648000194,863.7281929000746,872.5906268000836,2.0,8.886204099981114,,19,001,2025-11-19_14h59.12.610,manipulation-of-belief,,2025.1.1,2025-11-19 14h59.20.219368 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1763561632.7689843,,,,,,,,
