video_index,thisN,thisTrialN,thisRepN,video_id,belief,skip_video.keys,skip_video.rt,skip_video.duration,rating_sam_1.keys,rating_sam_1.rt,rating_sam_1.duration,rating_sam_2.keys,rating_sam_2.rt,rating_sam_2.duration,rating_sam_3.keys,rating_sam_3.rt,rating_sam_3.duration,focus_slider.response,focus_slider.rt,stimuli.thisRepN,stimuli.thisTrialN,stimuli.thisN,stimuli.thisIndex,thisRow.t,notes,expStartTime,r_instructions.started,key_instruct.started,r_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,r_baseline.started,skip_baseline.started,r_baseline.stopped,skip_baseline.keys,skip_baseline.rt,skip_baseline.duration,stimuli.video_id,stimuli.belief,r_preparation.started,r_preparation.stopped,r_fix.started,polygon.started,r_fix.stopped,r_video.started,video.started,skip_video.started,video.stopped,r_video.stopped,stimuli.skip_video.keys,stimuli.skip_video.rt,stimuli.skip_video.duration,r_SAM_1.started,question_sam_1.started,rating_sam_1.started,r_SAM_1.stopped,stimuli.rating_sam_1.keys,stimuli.rating_sam_1.rt,stimuli.rating_sam_1.duration,r_SAM_2.started,question_sam_2.started,rating_sam_2.started,r_SAM_2.stopped,stimuli.rating_sam_2.keys,stimuli.rating_sam_2.rt,stimuli.rating_sam_2.duration,r_SAM_3.started,question_sam_3.started,rating_sam_3.started,r_SAM_3.stopped,stimuli.rating_sam_3.keys,stimuli.rating_sam_3.rt,stimuli.rating_sam_3.duration,r_focus_questionnaire.started,focus_slider.started,r_focus_questionnaire.stopped,stimuli.focus_slider.response,stimuli.focus_slider.rt,r_final_questionnaire.started,opinion_slider.started,r_final_questionnaire.stopped,opinion_slider.response,opinion_slider.rt,expEndTime,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,1763566002.5614204,0.0321728999260813,0.05847769998945296,84.02863309998065,space,83.94588190002833,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,001,2025-11-19_16h26.25.323,manipulation-of-belief,,2025.1.1,2025-11-19 16h26.43.918262 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.02873779996298,84.05205139995087,214.67992609995417,space,130.61568679998163,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,001,2025-11-19_16h26.25.323,manipulation-of-belief,,2025.1.1,2025-11-19 16h26.43.918262 +0100,
1,0,0,0,18840567-hd_1920_1080_30fps.mp4,Human Generated,space,108.21041759999935,None,4,8.943588100024499,None,2,7.085157299996354,None,2,22.710634000017308,None,3.0,10.036816100007854,0,0,0,0,214.77403969992884,,,,,,,,,,,,,,,18840567-hd_1920_1080_30fps.mp4,Human Generated,214.7544554999331,219.6957046999596,219.69580159999896,219.7114458999131,220.19554909993894,220.62675349996425,220.67733330000192,220.67733330000192,324.0946950999787,328.8977989999112,space,108.21041759999935,None,329.00955979991704,329.02956189995166,329.02956189995166,337.98200259997975,4,8.943588100024499,None,337.98219639994204,337.99714999995194,337.99714999995194,345.0982802999206,2,7.085157299996354,None,345.09840999997687,345.11407339992,345.11407339992,367.83230039989576,2,22.710634000017308,None,367.8347605000017,367.8868668999057,377.8891664999537,3.0,10.036816100007854,,,,,,,22,001,2025-11-19_16h26.25.323,manipulation-of-belief,,2025.1.1,2025-11-19 16h26.43.918262 +0100,
2,1,1,0,11946387_3840_2160_30fps.mp4,Human Generated,space,124.30561659997329,None,3,7.322918000048958,None,2,17.0805886000162,None,3,21.710232999990694,None,4.0,4.669824299984612,0,1,1,1,377.90241649991367,,,,,,,,,,,,,,,11946387_3840_2160_30fps.mp4,Human Generated,377.88952480000444,382.8976803999394,382.89774419995956,382.9140759999864,383.39750289998483,383.92400569992606,384.0170590999769,384.0170590999769,504.0501895999769,508.3334186999127,space,124.30561659997329,None,508.4576233999105,508.47543589991983,508.47543589991983,515.8022551999893,3,7.322918000048958,None,515.802487699897,515.8168890000088,515.8168890000088,532.9010939999716,2,17.0805886000162,None,532.9012252999237,532.916916099959,532.916916099959,554.6348609999986,3,21.710232999990694,None,554.6368548999308,554.6578721998958,559.3254762999713,4.0,4.669824299984612,,,,,,,22,001,2025-11-19_16h26.25.323,manipulation-of-belief,,2025.1.1,2025-11-19 16h26.43.918262 +0100,
3,2,2,0,4171487-uhd_3840_2160_30fps.mp4,AI Generated,space,113.6798020999413,None,3,6.307695299969055,None,3,4.521112999995239,None,4,10.242505299975164,None,3.0,5.509633700014092,0,2,2,2,559.3383841000032,,,,,,,,,,,,,,,4171487-uhd_3840_2160_30fps.mp4,AI Generated,559.3259357999777,564.3341488000005,564.3342818999663,564.3500069999136,564.8341329999967,565.5689150999533,565.6353587999474,565.6353587999474,677.8256447999738,679.3185032999609,space,113.6798020999413,None,679.455307599972,679.4625224999618,679.4625224999618,685.7870756000048,3,6.307695299969055,None,685.7872625999153,685.8021282999543,685.8021282999543,690.3376524999039,3,4.521112999995239,None,690.3378140999703,690.3524504000088,690.3524504000088,700.6039519999176,4,10.242505299975164,None,700.6059387999121,700.6264733999269,706.1346811999101,3.0,5.509633700014092,,,,,,,22,001,2025-11-19_16h26.25.323,manipulation-of-belief,,2025.1.1,2025-11-19 16h26.43.918262 +0100,
4,3,3,0,5768645-uhd_3840_2160_25fps.mp4,AI Generated,space,122.04131379991304,None,3,4.313583199982531,None,3,2.5031284000724554,None,3,2.1154507999308407,None,2.0,2.953193899942562,0,3,3,3,706.1564251999371,,,,,,,,,,,,,,,5768645-uhd_3840_2160_25fps.mp4,AI Generated,706.1350491999183,711.1359873999609,711.136059399927,711.1518202999141,711.6363968999358,712.4519279999658,712.5262394999154,712.5262394999154,832.6364583999384,834.5706285999622,space,122.04131379991304,None,834.6835335999494,834.6885018999455,834.6885018999455,839.0056192999473,3,4.313583199982531,None,839.0057888999581,839.0213821999496,839.0213821999496,841.539158099913,3,2.5031284000724554,None,841.5394062999403,841.5547574999509,841.5547574999509,843.6731961999321,3,2.1154507999308407,None,843.6756769999629,843.6944138999097,846.6417571000056,2.0,2.953193899942562,,,,,,,22,001,2025-11-19_16h26.25.323,manipulation-of-belief,,2025.1.1,2025-11-19 16h26.43.918262 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,846.6428652999457,846.6661110999994,856.9062473999802,2.0,10.24709790002089,,22,001,2025-11-19_16h26.25.323,manipulation-of-belief,,2025.1.1,2025-11-19 16h26.43.918262 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1763566860.792049,,,,,,,,
