video_index,thisN,thisTrialN,thisRepN,video_id,belief,skip_video.keys,skip_video.rt,skip_video.duration,rating_sam_1.keys,rating_sam_1.rt,rating_sam_1.duration,rating_sam_2.keys,rating_sam_2.rt,rating_sam_2.duration,rating_sam_3.keys,rating_sam_3.rt,rating_sam_3.duration,focus_slider.response,focus_slider.rt,stimuli.thisRepN,stimuli.thisTrialN,stimuli.thisN,stimuli.thisIndex,thisRow.t,notes,expStartTime,r_instructions.started,key_instruct.started,r_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,r_baseline.started,skip_baseline.started,r_baseline.stopped,skip_baseline.keys,skip_baseline.rt,skip_baseline.duration,stimuli.video_id,stimuli.belief,r_preparation.started,r_preparation.stopped,r_fixation.started,fixation_cross.started,r_fixation.stopped,r_video.started,video.started,skip_video.started,video.stopped,r_video.stopped,stimuli.skip_video.keys,stimuli.skip_video.rt,stimuli.skip_video.duration,r_SAM_1.started,question_sam_1.started,rating_sam_1.started,r_SAM_1.stopped,stimuli.rating_sam_1.keys,stimuli.rating_sam_1.rt,stimuli.rating_sam_1.duration,r_SAM_2.started,question_sam_2.started,rating_sam_2.started,r_SAM_2.stopped,stimuli.rating_sam_2.keys,stimuli.rating_sam_2.rt,stimuli.rating_sam_2.duration,r_SAM_3.started,question_sam_3.started,rating_sam_3.started,r_SAM_3.stopped,stimuli.rating_sam_3.keys,stimuli.rating_sam_3.rt,stimuli.rating_sam_3.duration,r_focus_questionnaire.started,focus_slider.started,r_focus_questionnaire.stopped,stimuli.focus_slider.response,stimuli.focus_slider.rt,fixation_cross.stopped,r_final_questionnaire.started,opinion_slider.started,r_final_questionnaire.stopped,opinion_slider.response,opinion_slider.rt,expEndTime,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,1763038528.4679182,0.20639137500074867,0.24060933299915632,9.911425708000024,space,9.442437167001117,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2025-11-13_13h55.19.292,manipulation-of-belief,,2025.1.1,2025-11-13 13h55.29.875037 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.911456833000557,9.940006041000743,174.60317358300017,space,164.65747075000036,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2025-11-13_13h55.19.292,manipulation-of-belief,,2025.1.1,2025-11-13 13h55.29.875037 +0100,
1,0,0,0,5768645-uhd_3840_2160_25fps.mp4,Human Generated,space,128.2272821660008,None,3,13.716825416000574,None,1,7.504478667000512,None,1,11.661889707998853,None,3.0,31.66435008299959,0,0,0,0,174.66164958300033,,,,,,,,,,,,,,,5768645-uhd_3840_2160_25fps.mp4,Human Generated,174.6314792079993,179.60387687500042,179.60393812499933,179.63229416600007,180.604949999999,180.9209877909998,180.99816295799974,180.99816295799974,301.11950120800066,309.23506612500023,space,128.2272821660008,None,309.3389364579998,309.3551708750001,309.3551708750001,323.0834207499993,3,13.716825416000574,None,323.08361012500063,323.09780204100025,323.09780204100025,330.605362332999,1,7.504478667000512,None,330.6054960830006,330.62002799999937,330.62002799999937,342.28337049999936,1,11.661889707998853,None,342.28891012500026,342.3480655410003,373.9642412909998,3.0,31.66435008299959,,,,,,,,7,001,2025-11-13_13h55.19.292,manipulation-of-belief,,2025.1.1,2025-11-13 13h55.29.875037 +0100,
2,1,1,0,4171487-uhd_3840_2160_30fps.mp4,Human Generated,space,114.58072991700101,None,4,6.826957125000263,None,2,2.7167616250007995,None,1,6.393292040998858,None,3.0,3.6996272500000487,0,1,1,1,373.9720078329992,,,,,,,,,,,,,,,4171487-uhd_3840_2160_30fps.mp4,Human Generated,373.9644926660003,378.96533454100063,378.96539295799994,378.9710899999991,379.9543932910001,380.3219868750002,380.3918388330003,380.3918388330003,492.6279963329998,494.9848658329993,space,114.58072991700101,None,495.115159166,495.13505141600035,495.13505141600035,501.9658558329993,4,6.826957125000263,None,501.9660004159996,501.97708220799905,501.97708220799905,504.699054916,2,2.7167616250007995,None,504.6991739160003,504.7096754159993,504.7096754159993,511.10591337500045,1,6.393292040998858,None,511.1088283749996,511.13290270799916,514.8177804160005,3.0,3.6996272500000487,380.3918388330003,,,,,,,7,001,2025-11-13_13h55.19.292,manipulation-of-belief,,2025.1.1,2025-11-13 13h55.29.875037 +0100,
3,2,2,0,18840567-hd_1920_1080_30fps.mp4,AI Generated,None,,,4,4.15533483299987,None,1,10.166497166001136,None,2,27.38697616600075,None,5.0,8.983227374999842,0,2,2,2,514.830899999999,,,,,,,,,,,,,,,18840567-hd_1920_1080_30fps.mp4,AI Generated,514.8181101249993,519.8151480830002,519.8152110409992,519.821428457999,520.8145662499992,521.0707402499993,521.120398957999,521.120398957999,624.7132614999991,624.5655853749995,None,,,624.7075680830003,624.7132614999991,624.7132614999991,628.8708078750005,4,4.15533483299987,None,628.8709279159993,628.8845807500002,628.8845807500002,639.0543484579994,1,10.166497166001136,None,639.0544697909991,639.0654062909998,639.0654062909998,666.4552432500004,2,27.38697616600075,None,666.4577403330004,666.4819462079995,675.4506453329996,5.0,8.983227374999842,521.120398957999,,,,,,,7,001,2025-11-13_13h55.19.292,manipulation-of-belief,,2025.1.1,2025-11-13 13h55.29.875037 +0100,
4,3,3,0,11946387_3840_2160_30fps.mp4,AI Generated,space,121.98185716599983,None,4,3.669820291999713,None,1,1.5506514169992442,None,2,3.2232866670001386,None,5.0,2.798701166999308,0,3,3,3,675.462893124999,,,,,,,,,,,,,,,11946387_3840_2160_30fps.mp4,AI Generated,675.4508465409999,680.4471279999998,680.4471809999995,680.4524000830006,681.4351972080003,681.7725981250005,681.853735540999,681.853735540999,801.9169615409992,803.8552519160003,space,121.98185716599983,None,803.9976642910005,804.0155172499999,804.0155172499999,807.6974627500003,4,3.669820291999713,None,807.6976622910006,807.7082060829998,807.7082060829998,809.2638199159992,1,1.5506514169992442,None,809.2639660000004,809.2745225409999,809.2745225409999,812.5041607910007,2,3.2232866670001386,None,812.5073355000004,812.5373231249996,815.3157754160002,5.0,2.798701166999308,681.853735540999,,,,,,,7,001,2025-11-13_13h55.19.292,manipulation-of-belief,,2025.1.1,2025-11-13 13h55.29.875037 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,815.3164453329991,815.3314554579993,827.7158378330005,1.0,12.38966283300033,,7,001,2025-11-13_13h55.19.292,manipulation-of-belief,,2025.1.1,2025-11-13 13h55.29.875037 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1763039357.3763862,,,,,,,,
