video_index,thisN,thisTrialN,thisRepN,video_id,belief,skip_video.keys,skip_video.rt,skip_video.duration,rating_sam_1.keys,rating_sam_1.rt,rating_sam_1.duration,rating_sam_2.keys,rating_sam_2.rt,rating_sam_2.duration,rating_sam_3.keys,rating_sam_3.rt,rating_sam_3.duration,focus_slider.response,focus_slider.rt,stimuli.thisRepN,stimuli.thisTrialN,stimuli.thisN,stimuli.thisIndex,thisRow.t,notes,expStartTime,r_instructions.started,key_instruct.started,r_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,r_baseline.started,skip_baseline.started,r_baseline.stopped,skip_baseline.keys,skip_baseline.rt,skip_baseline.duration,stimuli.video_id,stimuli.belief,r_preparation.started,r_preparation.stopped,r_fixation.started,fixation_cross.started,r_fixation.stopped,r_video.started,video.started,skip_video.started,video.stopped,r_video.stopped,stimuli.skip_video.keys,stimuli.skip_video.rt,stimuli.skip_video.duration,r_SAM_1.started,question_sam_1.started,rating_sam_1.started,r_SAM_1.stopped,stimuli.rating_sam_1.keys,stimuli.rating_sam_1.rt,stimuli.rating_sam_1.duration,r_SAM_2.started,question_sam_2.started,rating_sam_2.started,r_SAM_2.stopped,stimuli.rating_sam_2.keys,stimuli.rating_sam_2.rt,stimuli.rating_sam_2.duration,r_SAM_3.started,question_sam_3.started,rating_sam_3.started,r_SAM_3.stopped,stimuli.rating_sam_3.keys,stimuli.rating_sam_3.rt,stimuli.rating_sam_3.duration,r_focus_questionnaire.started,focus_slider.started,r_focus_questionnaire.stopped,stimuli.focus_slider.response,stimuli.focus_slider.rt,r_final_questionnaire.started,opinion_slider.started,r_final_questionnaire.stopped,opinion_slider.response,opinion_slider.rt,expEndTime,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,1763198196.5817764,0.02790440001990646,0.04936420000740327,45.36684200001764,space,45.291601799981436,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,2025-11-15_10h16.28.762,manipulation-of-belief,,2025.1.1,2025-11-15 10h16.37.803044 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.36690560000716,45.38465730001917,177.62087240000255,space,132.2261307000008,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,2025-11-15_10h16.28.762,manipulation-of-belief,,2025.1.1,2025-11-15 10h16.37.803044 +0100,
1,0,0,0,11946387_3840_2160_30fps.mp4,Human Generated,space,137.81079380001756,None,3,21.848782699991716,None,1,11.16966680000769,None,4,41.530445200012764,None,3.0,12.231885099987267,0,0,0,0,177.66410100000212,,,,,,,,,,,,,,,11946387_3840_2160_30fps.mp4,Human Generated,177.6511024000065,182.63746140000876,182.63751840000623,182.65649540000595,183.6233374000003,183.96441340001184,184.10190460001468,184.10190460001468,304.0988360000192,321.9289998000022,space,137.81079380001756,None,322.06166750000557,322.0824915000121,322.0824915000121,343.9470460000157,3,21.848782699991716,None,343.9471440000052,343.9631951000192,343.9631951000192,355.1470451000205,1,11.16966680000769,None,355.14710980001837,355.16333480001776,355.16333480001776,396.69801660001394,4,41.530445200012764,None,396.69974770001136,396.7259643000143,408.9480283000157,3.0,12.231885099987267,,,,,,,13,001,2025-11-15_10h16.28.762,manipulation-of-belief,,2025.1.1,2025-11-15 10h16.37.803044 +0100,
2,1,1,0,4171487-uhd_3840_2160_30fps.mp4,AI Generated,space,121.79963610001141,None,3,19.678209800011246,None,1,2.464734299981501,None,3,7.229470999998739,None,2.0,4.600483699992765,0,1,1,1,408.963734399993,,,,,,,,,,,,,,,4171487-uhd_3840_2160_30fps.mp4,AI Generated,408.9484045999998,413.9472952000215,413.9473314000061,413.96627390000504,414.9501427000214,415.58600020001177,415.6522718000051,415.6522718000051,527.8434353000193,537.465915800014,space,121.79963610001141,None,537.5939002000086,537.5994853000157,537.5994853000157,557.2835941000085,3,19.678209800011246,None,557.2836919999972,557.3000791000086,557.3000791000086,559.7666065999947,1,2.464734299981501,None,559.7666705000156,559.7830341999943,559.7830341999943,567.0169435999996,3,7.229470999998739,None,567.0180761000083,567.033712000004,571.6333184000105,2.0,4.600483699992765,,,,,,,13,001,2025-11-15_10h16.28.762,manipulation-of-belief,,2025.1.1,2025-11-15 10h16.37.803044 +0100,
3,2,2,0,18840567-hd_1920_1080_30fps.mp4,Human Generated,space,111.20699599999352,None,3,5.02570719999494,None,1,3.465892000007443,None,3,4.125720699987141,None,1.0,8.966024199995445,0,2,2,2,571.6493704000022,,,,,,,,,,,,,,,18840567-hd_1920_1080_30fps.mp4,Human Generated,571.6335825000133,576.6331410999992,576.633190499997,576.6520196000056,577.6356229000085,578.1129344000074,578.175175100012,578.175175100012,681.5906155999983,689.3846334000118,space,111.20699599999352,None,689.4909512000158,689.495992000011,689.495992000011,694.5354055000062,3,5.02570719999494,None,694.5354988000181,694.5518628999998,694.5518628999998,698.0188802000193,1,3.465892000007443,None,698.0189525000169,698.035150700016,698.035150700016,702.1690503999998,3,4.125720699987141,None,702.1700975999993,702.1843844999967,711.1529171000002,1.0,8.966024199995445,,,,,,,13,001,2025-11-15_10h16.28.762,manipulation-of-belief,,2025.1.1,2025-11-15 10h16.37.803044 +0100,
4,3,3,0,5768645-uhd_3840_2160_25fps.mp4,AI Generated,space,129.78557089998503,None,3,10.54902510001557,None,1,4.107503499981249,None,3,11.194940299988957,None,2.0,12.900906099996064,0,3,3,3,711.1687287999957,,,,,,,,,,,,,,,5768645-uhd_3840_2160_25fps.mp4,AI Generated,711.153215600003,716.1519737000053,716.1520204000117,716.1709195000003,717.1547613000148,717.8178190000181,717.8897352000058,717.8897352000058,837.9989052000165,847.6874062000134,space,129.78557089998503,None,847.8111493000179,847.8159784000018,847.8159784000018,858.3711302000156,3,10.54902510001557,None,858.3711876000161,858.3872834999929,858.3872834999929,862.5046156000171,1,4.107503499981249,None,862.5047063000093,862.5210638999997,862.5210638999997,873.7213656000094,3,11.194940299988957,None,873.7224041000009,873.7370116999955,886.6382160999929,2.0,12.900906099996064,,,,,,,13,001,2025-11-15_10h16.28.762,manipulation-of-belief,,2025.1.1,2025-11-15 10h16.37.803044 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886.6391469000082,886.6592513000069,906.5059102000087,4.0,19.851921099994797,,13,001,2025-11-15_10h16.28.762,manipulation-of-belief,,2025.1.1,2025-11-15 10h16.37.803044 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1763199104.281412,,,,,,,,
