video_index,thisN,thisTrialN,thisRepN,video_id,belief,skip_video.keys,skip_video.rt,skip_video.duration,rating_sam_1.keys,rating_sam_1.rt,rating_sam_1.duration,rating_sam_2.keys,rating_sam_2.rt,rating_sam_2.duration,rating_sam_3.keys,rating_sam_3.rt,rating_sam_3.duration,focus_slider.response,focus_slider.rt,stimuli.thisRepN,stimuli.thisTrialN,stimuli.thisN,stimuli.thisIndex,thisRow.t,notes,expStartTime,r_instructions.started,key_instruct.started,r_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,r_baseline.started,skip_baseline.started,r_baseline.stopped,skip_baseline.keys,skip_baseline.rt,skip_baseline.duration,stimuli.video_id,stimuli.belief,r_preparation.started,r_preparation.stopped,r_fixation.started,fixation_cross.started,r_fixation.stopped,r_video.started,video.started,skip_video.started,video.stopped,r_video.stopped,stimuli.skip_video.keys,stimuli.skip_video.rt,stimuli.skip_video.duration,r_SAM_1.started,question_sam_1.started,rating_sam_1.started,r_SAM_1.stopped,stimuli.rating_sam_1.keys,stimuli.rating_sam_1.rt,stimuli.rating_sam_1.duration,r_SAM_2.started,question_sam_2.started,rating_sam_2.started,r_SAM_2.stopped,stimuli.rating_sam_2.keys,stimuli.rating_sam_2.rt,stimuli.rating_sam_2.duration,r_SAM_3.started,question_sam_3.started,rating_sam_3.started,r_SAM_3.stopped,stimuli.rating_sam_3.keys,stimuli.rating_sam_3.rt,stimuli.rating_sam_3.duration,r_focus_questionnaire.started,focus_slider.started,r_focus_questionnaire.stopped,stimuli.focus_slider.response,stimuli.focus_slider.rt,r_final_questionnaire.started,opinion_slider.started,r_final_questionnaire.stopped,opinion_slider.response,opinion_slider.rt,expEndTime,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,1763196449.9942646,0.03590379998786375,0.05651419999776408,31.205920799984597,space,31.05284170000232,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,2025-11-15_09h47.21.280,manipulation-of-belief,,2025.1.1,2025-11-15 09h47.32.159301 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.205987199995434,31.221801000006963,194.48371919998317,space,163.26149889998487,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,2025-11-15_09h47.21.280,manipulation-of-belief,,2025.1.1,2025-11-15 09h47.32.159301 +0100,
1,0,0,0,11946387_3840_2160_30fps.mp4,Human Generated,space,134.60040490000392,None,4,18.226318400003947,None,1,13.379403300001286,None,5,17.012798400013708,None,5.0,33.41359569999622,0,0,0,0,194.54310159999295,,,,,,,,,,,,,,,11946387_3840_2160_30fps.mp4,Human Generated,194.53067029998056,199.50012169999536,199.50017519999528,199.5189115999965,200.4860655000084,200.84485719999066,200.98109859999386,200.98109859999386,320.9765101999801,335.593094699987,space,134.60040490000392,None,335.7015263999929,335.72246489999816,335.72246489999816,353.9603790999972,4,18.226318400003947,None,353.9604402999976,353.9768111000012,353.9768111000012,367.3606758999813,1,13.379403300001286,None,367.3607583999983,367.37711780000245,367.37711780000245,384.3943333000061,5,17.012798400013708,None,384.3953225000005,384.426171900006,417.821655000007,5.0,33.41359569999622,,,,,,,12,001,2025-11-15_09h47.21.280,manipulation-of-belief,,2025.1.1,2025-11-15 09h47.32.159301 +0100,
2,1,1,0,4171487-uhd_3840_2160_30fps.mp4,AI Generated,space,117.96687539998675,None,4,11.088260199991055,None,1,6.038995999988401,None,5,6.842679399996996,None,4.0,3.516416400001617,0,1,1,1,417.83125489999657,,,,,,,,,,,,,,,4171487-uhd_3840_2160_30fps.mp4,AI Generated,417.8219380999799,422.82740720000584,422.8274483999994,422.8463283999881,423.8298508999869,424.5169799999858,424.5799865000008,424.5799865000008,536.7783042000083,542.5626157000079,space,117.96687539998675,None,542.6840147000039,542.6906522999925,542.6906522999925,553.7800901999872,4,11.088260199991055,None,553.7801522999944,553.7966969999834,553.7966969999834,559.8472606999858,1,6.038995999988401,None,559.847329399985,559.8631039999891,559.8631039999891,566.7139233000053,5,6.842679399996996,None,566.7149524999841,566.7290984999854,570.2466361999977,4.0,3.516416400001617,,,,,,,12,001,2025-11-15_09h47.21.280,manipulation-of-belief,,2025.1.1,2025-11-15 09h47.32.159301 +0100,
3,2,2,0,5768645-uhd_3840_2160_25fps.mp4,AI Generated,space,125.3709904999996,None,3,8.730045800009975,None,3,5.5185280999867246,None,3,4.529146200016839,None,4.0,2.532588300004136,0,2,2,2,570.2626019000018,,,,,,,,,,,,,,,5768645-uhd_3840_2160_25fps.mp4,AI Generated,570.2468744000071,575.2466408000037,575.2466898999992,575.265596799989,576.248927299981,577.0030932999798,577.0824157999887,577.0824157999887,697.1887759999954,702.4652984999993,space,125.3709904999996,None,702.5716423999984,702.5767270000069,702.5767270000069,711.3160841999925,3,8.730045800009975,None,711.3161529999925,711.3323486000008,711.3323486000008,716.8663067999878,3,5.5185280999867246,None,716.866365599999,716.8827219000086,716.8827219000086,721.4161724000005,3,4.529146200016839,None,721.4170956999878,721.4316616999859,723.9658892999869,4.0,2.532588300004136,,,,,,,12,001,2025-11-15_09h47.21.280,manipulation-of-belief,,2025.1.1,2025-11-15 09h47.32.159301 +0100,
4,3,3,0,18840567-hd_1920_1080_30fps.mp4,Human Generated,space,106.98065650000353,None,4,6.473291000002064,None,1,6.618945000023814,None,4,10.277929100004258,None,3.0,2.9840088000055403,0,3,3,3,723.9818366999971,,,,,,,,,,,,,,,18840567-hd_1920_1080_30fps.mp4,Human Generated,723.9661383999919,728.9656534999958,728.9657261999964,728.9848666999897,729.9680929000024,730.488234199991,730.5658189999813,730.5658189999813,833.9649179999833,837.5505777999933,space,106.98065650000353,None,837.6527168999892,837.6579046999977,837.6579046999977,844.1347922999994,4,6.473291000002064,None,844.1348539000028,844.150897399988,844.150897399988,850.785250099987,1,6.618945000023814,None,850.7853654999926,850.8013133000059,850.8013133000059,861.0848674000008,4,10.277929100004258,None,861.0858739999821,861.1004811000021,864.0849222999823,3.0,2.9840088000055403,,,,,,,12,001,2025-11-15_09h47.21.280,manipulation-of-belief,,2025.1.1,2025-11-15 09h47.32.159301 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864.0859521999955,864.1044006999873,872.2513304000022,5.0,8.14954289997695,,12,001,2025-11-15_09h47.21.280,manipulation-of-belief,,2025.1.1,2025-11-15 09h47.32.159301 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1763197324.3743613,,,,,,,,
