video_index,thisN,thisTrialN,thisRepN,video_id,belief,skip_video.keys,skip_video.rt,skip_video.duration,rating_sam_1.keys,rating_sam_1.rt,rating_sam_1.duration,rating_sam_2.keys,rating_sam_2.rt,rating_sam_2.duration,rating_sam_3.keys,rating_sam_3.rt,rating_sam_3.duration,focus_slider.response,focus_slider.rt,stimuli.thisRepN,stimuli.thisTrialN,stimuli.thisN,stimuli.thisIndex,thisRow.t,notes,expStartTime,r_instructions.started,key_instruct.started,r_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,r_baseline.started,skip_baseline.started,r_baseline.stopped,skip_baseline.keys,skip_baseline.rt,skip_baseline.duration,stimuli.video_id,stimuli.belief,r_preparation.started,r_preparation.stopped,r_fixation.started,fixation_cross.started,r_fixation.stopped,r_video.started,video.started,skip_video.started,video.stopped,r_video.stopped,stimuli.skip_video.keys,stimuli.skip_video.rt,stimuli.skip_video.duration,r_SAM_1.started,question_sam_1.started,rating_sam_1.started,r_SAM_1.stopped,stimuli.rating_sam_1.keys,stimuli.rating_sam_1.rt,stimuli.rating_sam_1.duration,r_SAM_2.started,question_sam_2.started,rating_sam_2.started,r_SAM_2.stopped,stimuli.rating_sam_2.keys,stimuli.rating_sam_2.rt,stimuli.rating_sam_2.duration,r_SAM_3.started,question_sam_3.started,rating_sam_3.started,r_SAM_3.stopped,stimuli.rating_sam_3.keys,stimuli.rating_sam_3.rt,stimuli.rating_sam_3.duration,r_focus_questionnaire.started,focus_slider.started,r_focus_questionnaire.stopped,stimuli.focus_slider.response,stimuli.focus_slider.rt,fixation_cross.stopped,r_final_questionnaire.started,opinion_slider.started,r_final_questionnaire.stopped,opinion_slider.response,opinion_slider.rt,expEndTime,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,1764165583.9113522,0.24835362500016345,0.3012656249993597,16.270306749996962,space,15.701506833000167,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,2025-11-26_14h59.35.280,manipulation-of-belief,,2025.1.1,2025-11-26 14h59.45.689175 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.27036279100139,16.308696041000076,143.86994720799703,space,127.52142416599963,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,2025-11-26_14h59.35.280,manipulation-of-belief,,2025.1.1,2025-11-26 14h59.45.689175 +0100,
1,0,0,0,18840567-hd_1920_1080_30fps.mp4,Human Generated,space,108.74271291599871,None,5,12.719902291006292,None,2,6.483123498997884,None,3,6.7315117079997435,None,5.0,13.759944167002686,0,0,0,0,144.17894800000067,,,,,,,,,,,,,,,18840567-hd_1920_1080_30fps.mp4,Human Generated,143.94755537500168,148.87199099999998,148.8720533329979,148.93017458300164,149.87280016599834,150.00896054100303,150.0704164159979,150.0704164159979,253.5088979159991,258.8592648749982,space,108.74271291599871,None,258.96537287499814,259.10666891599976,259.10666891599976,271.83434270800353,5,12.719902291006292,None,271.83451583299757,271.846975708002,271.846975708002,278.3344947079968,2,6.483123498997884,None,278.33464408299915,278.35214008299954,278.35214008299954,285.1015056250035,3,6.7315117079997435,None,285.10970970799826,285.19511229100317,298.8817161249972,5.0,13.759944167002686,,,,,,,,23,001,2025-11-26_14h59.35.280,manipulation-of-belief,,2025.1.1,2025-11-26 14h59.45.689175 +0100,
2,1,1,0,11946387_3840_2160_30fps.mp4,Human Generated,None,,,5,3.6073414989950834,None,5,3.447326041001361,None,3,20.17216991600435,None,5.0,5.258839166002872,0,1,1,1,298.8902205830018,,,,,,,,,,,,,,,11946387_3840_2160_30fps.mp4,Human Generated,298.8824524160009,303.87349099999847,303.87354624999716,303.88278554099816,304.86615454099956,305.21444854100264,305.28072812499886,305.28072812499886,425.51451700000325,425.35420245800196,None,,,425.50021483300225,425.51451700000325,425.51451700000325,429.1962110000022,5,3.6073414989950834,None,429.19630429099925,429.38401491600234,429.38401491600234,432.83380320799915,5,3.447326041001361,None,432.83413183299854,432.85010299999703,432.85010299999703,453.035592082997,3,20.17216991600435,None,453.04942462500185,453.0892178330032,458.3176738749971,5.0,5.258839166002872,305.28072812499886,,,,,,,23,001,2025-11-26_14h59.35.280,manipulation-of-belief,,2025.1.1,2025-11-26 14h59.45.689175 +0100,
3,2,2,0,5768645-uhd_3840_2160_25fps.mp4,AI Generated,space,125.08725454100204,None,4,5.30764699899737,None,2,7.993143624997174,None,2,5.261077290997491,None,4.0,3.6963627920049476,0,2,2,2,458.33078629100055,,,,,,,,,,,,,,,5768645-uhd_3840_2160_25fps.mp4,AI Generated,458.3183095830027,463.3150815830013,463.3151352080022,463.3207784999977,464.30487549999816,464.7876057079993,464.86984220799786,464.86984220799786,584.9883061250002,590.0212375409974,space,125.08725454100204,None,590.14095275,590.3402532909968,590.3402532909968,595.654933165999,4,5.30764699899737,None,595.6550956249994,595.6658411660028,595.6658411660028,603.6646946249966,2,7.993143624997174,None,603.6648477080016,603.676066041,603.676066041,608.9484332499997,2,5.261077290997491,None,608.9609669159981,608.9940004579985,612.666902500001,4.0,3.6963627920049476,464.86984220799786,,,,,,,23,001,2025-11-26_14h59.35.280,manipulation-of-belief,,2025.1.1,2025-11-26 14h59.45.689175 +0100,
4,3,3,0,4171487-uhd_3840_2160_30fps.mp4,AI Generated,space,115.33398033199774,None,4,2.7463572490014485,None,3,3.0429266240025754,None,3,3.3488471250020666,None,3.0,6.796520584000973,0,3,3,3,612.6784405829967,,,,,,,,,,,,,,,4171487-uhd_3840_2160_30fps.mp4,AI Generated,612.6676867499991,617.6634923329984,617.6635518749972,617.669436832999,618.6532466249992,619.1114006249991,619.1836312910018,619.1836312910018,731.3702035410024,734.5516146660011,space,115.33398033199774,None,734.654675208003,734.7988292500013,734.7988292500013,737.5520274160008,4,2.7463572490014485,None,737.5521948750029,737.563994958,737.563994958,740.6126090410035,3,3.0429266240025754,None,740.6127625000008,740.6248942910024,740.6248942910024,743.9789050000036,3,3.3488471250020666,None,743.992359625001,744.0255047910032,750.7984310000029,3.0,6.796520584000973,619.1836312910018,,,,,,,23,001,2025-11-26_14h59.35.280,manipulation-of-belief,,2025.1.1,2025-11-26 14h59.45.689175 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750.7991681659987,750.8432788330028,761.5275496660033,4.0,10.715987707997556,,23,001,2025-11-26_14h59.35.280,manipulation-of-belief,,2025.1.1,2025-11-26 14h59.45.689175 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1764166346.973069,,,,,,,,
