video_index,thisN,thisTrialN,thisRepN,video_id,belief,skip_video.keys,skip_video.rt,skip_video.duration,rating_sam_1.keys,rating_sam_1.rt,rating_sam_1.duration,rating_sam_2.keys,rating_sam_2.rt,rating_sam_2.duration,rating_sam_3.keys,rating_sam_3.rt,rating_sam_3.duration,focus_slider.response,focus_slider.rt,stimuli.thisRepN,stimuli.thisTrialN,stimuli.thisN,stimuli.thisIndex,thisRow.t,notes,expStartTime,r_instructions.started,key_instruct.started,r_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,r_baseline.started,skip_baseline.started,r_baseline.stopped,skip_baseline.keys,skip_baseline.rt,skip_baseline.duration,stimuli.video_id,stimuli.belief,r_preparation.started,r_preparation.stopped,r_fixation.started,fixation_cross.started,r_fixation.stopped,r_video.started,video.started,skip_video.started,video.stopped,r_video.stopped,stimuli.skip_video.keys,stimuli.skip_video.rt,stimuli.skip_video.duration,r_SAM_1.started,question_sam_1.started,rating_sam_1.started,r_SAM_1.stopped,stimuli.rating_sam_1.keys,stimuli.rating_sam_1.rt,stimuli.rating_sam_1.duration,r_SAM_2.started,question_sam_2.started,rating_sam_2.started,r_SAM_2.stopped,stimuli.rating_sam_2.keys,stimuli.rating_sam_2.rt,stimuli.rating_sam_2.duration,r_SAM_3.started,question_sam_3.started,rating_sam_3.started,r_SAM_3.stopped,stimuli.rating_sam_3.keys,stimuli.rating_sam_3.rt,stimuli.rating_sam_3.duration,r_focus_questionnaire.started,focus_slider.started,r_focus_questionnaire.stopped,stimuli.focus_slider.response,stimuli.focus_slider.rt,fixation_cross.stopped,r_final_questionnaire.started,opinion_slider.started,r_final_questionnaire.stopped,opinion_slider.response,opinion_slider.rt,expEndTime,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,1763043687.395846,0.2916617500013672,0.3695484170002601,13.949161208000078,space,13.574633374000769,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,2025-11-13_15h21.17.261,manipulation-of-belief,,2025.1.1,2025-11-13 15h21.29.156291 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.949219957999958,13.986776042000201,135.90176037499987,space,121.90630679099922,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,2025-11-13_15h21.17.261,manipulation-of-belief,,2025.1.1,2025-11-13 15h21.29.156291 +0100,
1,0,0,0,5768645-uhd_3840_2160_25fps.mp4,Human Generated,space,132.51917883200076,None,2,13.680780666001738,None,4,10.610124874001485,None,5,5.655932333000237,None,3.0,5.150940999999875,0,0,0,0,135.98503425000126,,,,,,,,,,,,,,,5768645-uhd_3840_2160_25fps.mp4,Human Generated,135.95449204200122,140.9046459580004,140.904703917,140.91975037500015,141.90349950000018,142.23733791700033,142.31831545800014,142.31831545800014,262.44523712500086,274.8509119170012,space,132.51917883200076,None,274.96277333299986,275.0241957500002,275.0241957500002,288.7161166670012,2,13.680780666001738,None,288.7162739579999,288.73740462500064,288.73740462500064,299.3549218750013,4,10.610124874001485,None,299.35505566699976,299.37075495800127,299.37075495800127,305.0320036250014,5,5.655932333000237,None,305.0405357920008,305.12502379200123,310.2025263329997,3.0,5.150940999999875,,,,,,,,8,001,2025-11-13_15h21.17.261,manipulation-of-belief,,2025.1.1,2025-11-13 15h21.29.156291 +0100,
2,1,1,0,11946387_3840_2160_30fps.mp4,AI Generated,space,123.13408162400083,None,5,2.5942729569997027,None,1,1.7491766660004942,None,1,2.568155373999616,None,5.0,3.5997001670002646,0,1,1,1,310.21342424999966,,,,,,,,,,,,,,,11946387_3840_2160_30fps.mp4,AI Generated,310.204077417,315.1978359580007,315.1978859999999,315.2036162080003,316.1867294580006,316.55189820800115,316.62435195800026,316.62435195800026,436.694978083,439.7857421669996,space,123.13408162400083,None,439.91661054200085,440.0629982500013,440.0629982500013,442.6639859170009,5,2.5942729569997027,None,442.6641597500002,442.67407379200085,442.67407379200085,444.4333196250009,1,1.7491766660004942,None,444.4334634580009,444.4442547920007,444.4442547920007,447.0141684580012,1,2.568155373999616,None,447.02705891700134,447.06129845800024,450.6367102080003,5.0,3.5997001670002646,316.62435195800026,,,,,,,8,001,2025-11-13_15h21.17.261,manipulation-of-belief,,2025.1.1,2025-11-13 15h21.29.156291 +0100,
3,2,2,0,4171487-uhd_3840_2160_30fps.mp4,Human Generated,None,,,5,2.039830207000705,None,2,2.693122915999993,None,2,1.5562535820008634,None,5.0,3.233760749999419,0,2,2,2,450.64562466700045,,,,,,,,,,,,,,,4171487-uhd_3840_2160_30fps.mp4,Human Generated,450.63744145800047,455.6294216670012,455.6294716250013,455.6352295830002,456.6179343750009,457.01792116700017,457.08629566700074,457.08629566700074,569.456583833,569.3065540000007,None,,,569.450386167,569.456583833,569.456583833,571.5077684999997,5,2.039830207000705,None,571.5078477080006,571.541373,571.541373,574.2456315,2,2.693122915999993,None,574.2457554169996,574.2557068330007,574.2557068330007,575.8190075420007,2,1.5562535820008634,None,575.8220000830006,575.8511026249998,579.066031458,5.0,3.233760749999419,457.08629566700074,,,,,,,8,001,2025-11-13_15h21.17.261,manipulation-of-belief,,2025.1.1,2025-11-13 15h21.29.156291 +0100,
4,3,3,0,18840567-hd_1920_1080_30fps.mp4,AI Generated,None,,,4,3.053546457000266,None,3,3.485635666000235,None,3,4.429096083000331,None,4.0,6.143204292000519,0,3,3,3,579.0766808330009,,,,,,,,,,,,,,,18840567-hd_1920_1080_30fps.mp4,AI Generated,579.0662942920007,584.0610499169998,584.0610994170002,584.0661762079999,585.0507435420004,585.3407155000004,585.3947877080009,585.3947877080009,688.9804523750008,688.8297313750008,None,,,688.9737523750009,688.9804523750008,688.9804523750008,692.0488612080007,4,3.053546457000266,None,692.0489337500003,692.0682732080004,692.0682732080004,695.5606908749996,3,3.485635666000235,None,695.5608237920005,695.5677451250012,695.5677451250012,700.000009667001,3,4.429096083000331,None,700.0057925420006,700.034519750001,706.1589171249998,4.0,6.143204292000519,585.3947877080009,,,,,,,8,001,2025-11-13_15h21.17.261,manipulation-of-belief,,2025.1.1,2025-11-13 15h21.29.156291 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706.1597067920011,706.2079506669997,719.6478630830006,2.0,13.477300374999686,,8,001,2025-11-13_15h21.17.261,manipulation-of-belief,,2025.1.1,2025-11-13 15h21.29.156291 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1763044408.513803,,,,,,,,
