video_index,thisN,thisTrialN,thisRepN,video_id,belief,skip_video.keys,skip_video.rt,skip_video.duration,rating_sam_1.keys,rating_sam_1.rt,rating_sam_1.duration,rating_sam_2.keys,rating_sam_2.rt,rating_sam_2.duration,rating_sam_3.keys,rating_sam_3.rt,rating_sam_3.duration,focus_slider.response,focus_slider.rt,stimuli.thisRepN,stimuli.thisTrialN,stimuli.thisN,stimuli.thisIndex,thisRow.t,notes,expStartTime,r_instructions.started,key_instruct.started,r_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,r_baseline.started,skip_baseline.started,r_baseline.stopped,skip_baseline.keys,skip_baseline.rt,skip_baseline.duration,stimuli.video_id,stimuli.belief,r_preparation.started,r_preparation.stopped,r_fix.started,polygon.started,r_fix.stopped,r_video.started,video.started,skip_video.started,video.stopped,r_video.stopped,stimuli.skip_video.keys,stimuli.skip_video.rt,stimuli.skip_video.duration,r_SAM_1.started,question_sam_1.started,rating_sam_1.started,r_SAM_1.stopped,stimuli.rating_sam_1.keys,stimuli.rating_sam_1.rt,stimuli.rating_sam_1.duration,r_SAM_2.started,question_sam_2.started,rating_sam_2.started,r_SAM_2.stopped,stimuli.rating_sam_2.keys,stimuli.rating_sam_2.rt,stimuli.rating_sam_2.duration,r_SAM_3.started,question_sam_3.started,rating_sam_3.started,r_SAM_3.stopped,stimuli.rating_sam_3.keys,stimuli.rating_sam_3.rt,stimuli.rating_sam_3.duration,r_focus_questionnaire.started,focus_slider.started,r_focus_questionnaire.stopped,stimuli.focus_slider.response,stimuli.focus_slider.rt,polygon.stopped,r_final_questionnaire.started,opinion_slider.started,r_final_questionnaire.stopped,opinion_slider.response,opinion_slider.rt,expEndTime,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,1763562442.0231495,0.029211200075224042,0.05125940009020269,29.2411997000454,space,29.15043399995193,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,001,2025-11-19_15h27.00.013,manipulation-of-belief,,2025.1.1,2025-11-19 15h27.23.219381 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.241364200017415,29.269277599989437,170.63483430002816,space,141.35262240003794,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,001,2025-11-19_15h27.00.013,manipulation-of-belief,,2025.1.1,2025-11-19 15h27.23.219381 +0100,
1,0,0,0,18840567-hd_1920_1080_30fps.mp4,Human Generated,space,106.87647720007226,None,5,8.170987399993464,None,3,14.927965499926358,None,3,15.068271399941295,None,5.0,17.352006200002506,0,0,0,0,170.73033350007609,,,,,,,,,,,,,,,18840567-hd_1920_1080_30fps.mp4,Human Generated,170.71584489999805,175.65114780003205,175.65125180000905,175.666747600073,176.1515195000684,176.52249540004414,176.58140630007256,176.58140630007256,280.0162913000677,283.4690118000144,space,106.87647720007226,None,283.5745416000718,283.5930510000326,283.5930510000326,291.77063560008537,5,8.170987399993464,None,291.7708380999975,291.78583599999547,291.78583599999547,306.7204648000188,3,14.927965499926358,None,306.72066190000623,306.7363747000927,306.7363747000927,321.82066170009784,3,15.068271399941295,None,321.82290949998423,321.8737477000104,339.1891975000035,5.0,17.352006200002506,,,,,,,,20,001,2025-11-19_15h27.00.013,manipulation-of-belief,,2025.1.1,2025-11-19 15h27.23.219381 +0100,
2,1,1,0,5768645-uhd_3840_2160_25fps.mp4,AI Generated,space,122.90060549997725,None,4,3.8008587000658736,None,3,5.6849727999651805,None,3,5.369042200036347,None,3.0,5.162560399970971,0,1,1,1,339.1999548000749,,,,,,,,,,,,,,,5768645-uhd_3840_2160_25fps.mp4,AI Generated,339.1895310000982,344.18623550003394,344.18628720007837,344.20265940006357,344.68639869999606,345.43015720008407,345.49218010006007,345.49218010006007,465.59650660003535,468.4056493000826,space,122.90060549997725,None,468.54277559998445,468.55011620000005,468.55011620000005,472.3568126000464,4,3.8008587000658736,None,472.3569579999894,472.37217590003274,472.37217590003274,478.0737525000004,3,5.6849727999651805,None,478.0740079000825,478.08889000001363,478.08889000001363,483.4742774000624,3,5.369042200036347,None,483.4764288000297,483.49507370009087,488.657225400093,3.0,5.162560399970971,345.49218010006007,,,,,,,20,001,2025-11-19_15h27.00.013,manipulation-of-belief,,2025.1.1,2025-11-19 15h27.23.219381 +0100,
3,2,2,0,4171487-uhd_3840_2160_30fps.mp4,AI Generated,space,113.77039139997214,None,4,3.1607117999810725,None,4,3.4560013000154868,None,3,2.6650544999865815,None,4.0,4.866672899923287,0,2,2,2,488.66834329999983,,,,,,,,,,,,,,,4171487-uhd_3840_2160_30fps.mp4,AI Generated,488.65750570001546,493.65519610000774,493.655256500002,493.6716771000065,494.1557484000223,494.880863300059,494.95388939999975,494.95388939999975,607.1387478000252,608.7253388999961,space,113.77039139997214,None,608.8366861999966,608.845495400019,608.845495400019,612.0072680000449,4,3.1607117999810725,None,612.0073570000241,612.0233700000681,612.0233700000681,615.4925161000574,4,3.4560013000154868,None,615.4926907999907,615.5073038000846,615.5073038000846,618.1757533000782,3,2.6650544999865815,None,618.1791598000564,618.1999109000899,623.0610365000321,4.0,4.866672899923287,494.95388939999975,,,,,,,20,001,2025-11-19_15h27.00.013,manipulation-of-belief,,2025.1.1,2025-11-19 15h27.23.219381 +0100,
4,3,3,0,11946387_3840_2160_30fps.mp4,Human Generated,space,122.18967630004045,None,4,4.315024800016545,None,3,4.104581400053576,None,3,8.436069599934854,None,4.0,3.9733005000744015,0,3,3,3,623.0729611000279,,,,,,,,,,,,,,,11946387_3840_2160_30fps.mp4,Human Generated,623.0614565000869,628.0579115999863,628.0579816000536,628.0734826000407,628.5575363000389,629.1470511000371,629.2115147000877,629.2115147000877,749.2734360999893,751.4096282999963,space,122.18967630004045,None,751.5316869000671,751.5377066000365,751.5377066000365,755.8614048000891,4,4.315024800016545,None,755.8615624000086,755.8761722000781,755.8761722000781,759.9934087999864,3,4.104581400053576,None,759.9935001000995,760.0091415999923,760.0091415999923,768.4608004000038,3,8.436069599934854,None,768.4633555000182,768.4822918000864,772.4538536000764,4.0,3.9733005000744015,629.2115147000877,,,,,,,20,001,2025-11-19_15h27.00.013,manipulation-of-belief,,2025.1.1,2025-11-19 15h27.23.219381 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772.457190999994,772.4954588999972,780.9427738999948,4.0,8.470328700030223,,20,001,2025-11-19_15h27.00.013,manipulation-of-belief,,2025.1.1,2025-11-19 15h27.23.219381 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1763563224.1336198,,,,,,,,
