video_index,thisN,thisTrialN,thisRepN,video_id,belief,rating_sam_1.keys,rating_sam_1.rt,rating_sam_1.duration,rating_sam_2.keys,rating_sam_2.rt,rating_sam_2.duration,rating_sam_3.keys,rating_sam_3.rt,rating_sam_3.duration,focus_slider.response,focus_slider.rt,stimuli.thisRepN,stimuli.thisTrialN,stimuli.thisN,stimuli.thisIndex,thisRow.t,notes,expStartTime,r_instructions.started,key_instruct.started,r_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,r_baseline.started,r_baseline.stopped,stimuli.video_id,stimuli.belief,r_preparation.started,r_preparation.stopped,r_fixation.started,fixation_cross.started,r_fixation.stopped,r_video.started,video.started,video.stopped,r_video.stopped,r_SAM_1.started,question_sam_1.started,rating_sam_1.started,r_SAM_1.stopped,stimuli.rating_sam_1.keys,stimuli.rating_sam_1.rt,stimuli.rating_sam_1.duration,r_SAM_2.started,question_sam_2.started,rating_sam_2.started,r_SAM_2.stopped,stimuli.rating_sam_2.keys,stimuli.rating_sam_2.rt,stimuli.rating_sam_2.duration,r_SAM_3.started,question_sam_3.started,rating_sam_3.started,r_SAM_3.stopped,stimuli.rating_sam_3.keys,stimuli.rating_sam_3.rt,stimuli.rating_sam_3.duration,r_focus_questionnaire.started,focus_slider.started,r_focus_questionnaire.stopped,stimuli.focus_slider.response,stimuli.focus_slider.rt,fixation_cross.stopped,r_final_questionnaire.started,opinion_slider.started,r_final_questionnaire.stopped,opinion_slider.response,opinion_slider.rt,expEndTime,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,1762957712.288883,0.2143420829961542,0.24930149999272544,15.093274457991356,space,14.618919999993523,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2025-11-12_15h28.23.584,manipulation-of-belief,,2025.1.1,2025-11-12 15h28.33.887873 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.093317833001493,135.095762500001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2025-11-12_15h28.23.584,manipulation-of-belief,,2025.1.1,2025-11-12 15h28.33.887873 +0100,
1,0,0,0,4171487-uhd_3840_2160_30fps.mp4,Human Generated,3,7.156894791987725,None,2,7.1323983750044135,None,2,9.490864249994047,None,3.0,12.076907166992896,0,0,0,0,135.13014616699365,,,,,,,,,,,4171487-uhd_3840_2160_30fps.mp4,Human Generated,135.1184910419979,140.09576804199605,140.0958249999967,140.11687633299152,141.0956685419951,141.5290495829977,141.60004737500276,253.88250891699863,253.73446816699288,253.87685425000382,261.09682570799487,261.09682570799487,268.2647185419919,3,7.156894791987725,None,268.2650390829949,268.2872150000039,268.2872150000039,275.4287849169923,2,7.1323983750044135,None,275.4289147919917,275.4424620829959,275.4424620829959,284.936384457993,2,9.490864249994047,None,284.93898879199696,285.0017921249964,297.0274927080027,3.0,12.076907166992896,,,,,,,,3,001,2025-11-12_15h28.23.584,manipulation-of-belief,,2025.1.1,2025-11-12 15h28.33.887873 +0100,
2,1,1,0,11946387_3840_2160_30fps.mp4,AI Generated,3,6.885333084006561,None,1,3.604084499995224,None,2,7.471315000002505,None,2.0,3.6062959999981103,0,1,1,1,297.0355779579986,,,,,,,,,,,11946387_3840_2160_30fps.mp4,AI Generated,297.02777045799303,302.0281932499929,302.0282589169947,302.034753999993,303.01796124999237,303.3852077920019,303.4553305419977,,423.0287789169961,423.1411917499936,423.148256667002,423.148256667002,430.0465863749996,3,6.885333084006561,None,430.0488469169941,430.07369654199283,430.07369654199283,433.6839827920048,1,3.604084499995224,None,433.6841420419951,433.6950872919988,433.6950872919988,441.17590099999506,2,7.471315000002505,None,441.17941216699546,441.207547041995,444.7957449999958,2.0,3.6062959999981103,303.4553305419977,,,,,,,3,001,2025-11-12_15h28.23.584,manipulation-of-belief,,2025.1.1,2025-11-12 15h28.33.887873 +0100,
3,2,2,0,18840567-hd_1920_1080_30fps.mp4,AI Generated,3,6.092261582991341,None,2,6.561737167008687,None,2,6.419209957995918,None,2.0,3.2836997079866705,0,2,2,2,444.80700037500355,,,,,,,,,,,18840567-hd_1920_1080_30fps.mp4,AI Generated,444.79612066700065,449.79147562499566,449.79156662500463,449.7990454999963,450.782254167003,451.0360526250006,451.08252720799646,554.7037477080012,554.555040124993,554.6984959999972,570.7899546249973,570.7899546249973,576.8908710419928,3,6.092261582991341,None,576.8909934580006,576.9024479170039,576.9024479170039,583.4738757500018,2,6.561737167008687,None,583.4739936249971,583.484601624994,583.484601624994,589.9082043329981,2,6.419209957995918,None,589.9108425419981,589.9378733750054,593.2062019169971,2.0,3.2836997079866705,451.08252720799646,,,,,,,3,001,2025-11-12_15h28.23.584,manipulation-of-belief,,2025.1.1,2025-11-12 15h28.33.887873 +0100,
4,3,3,0,5768645-uhd_3840_2160_25fps.mp4,Human Generated,4,6.095030208001845,None,3,3.2354760419984814,None,1,4.598493624987896,None,3.0,4.43982179100567,0,3,3,3,593.2133526669932,,,,,,,,,,,5768645-uhd_3840_2160_25fps.mp4,Human Generated,593.2063437079923,598.1969934170047,598.1970517080044,598.2058263329964,599.1894776249974,599.6659361670027,599.7559643330023,,719.2208849169983,719.340242833001,719.3473844580003,719.3473844580003,725.4493472079921,4,6.095030208001845,None,725.4497482919978,725.4769771249994,725.4769771249994,728.7225249170006,3,3.2354760419984814,None,728.7226856670022,728.7350672920002,728.7350672920002,733.338327666992,1,4.598493624987896,None,733.3419595419982,733.3767327499954,737.7914677079971,3.0,4.43982179100567,599.7559643330023,,,,,,,3,001,2025-11-12_15h28.23.584,manipulation-of-belief,,2025.1.1,2025-11-12 15h28.33.887873 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737.7921861249924,737.8067663749971,743.7408186249959,3.0,5.938620166998589,,3,001,2025-11-12_15h28.23.584,manipulation-of-belief,,2025.1.1,2025-11-12 15h28.33.887873 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762958457.389694,,,,,,,,
