video_index,thisN,thisTrialN,thisRepN,video_id,belief,skip_video.keys,skip_video.rt,skip_video.duration,rating_sam_1.keys,rating_sam_1.rt,rating_sam_1.duration,rating_sam_2.keys,rating_sam_2.rt,rating_sam_2.duration,rating_sam_3.keys,rating_sam_3.rt,rating_sam_3.duration,focus_slider.response,focus_slider.rt,stimuli.thisRepN,stimuli.thisTrialN,stimuli.thisN,stimuli.thisIndex,thisRow.t,notes,expStartTime,r_instructions.started,key_instruct.started,r_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,r_baseline.started,skip_baseline.started,r_baseline.stopped,skip_baseline.keys,skip_baseline.rt,skip_baseline.duration,stimuli.video_id,stimuli.belief,r_preparation.started,r_preparation.stopped,r_fixation.started,fixation_cross.started,r_fixation.stopped,r_video.started,video.started,skip_video.started,video.stopped,r_video.stopped,stimuli.skip_video.keys,stimuli.skip_video.rt,stimuli.skip_video.duration,r_SAM_1.started,question_sam_1.started,rating_sam_1.started,r_SAM_1.stopped,stimuli.rating_sam_1.keys,stimuli.rating_sam_1.rt,stimuli.rating_sam_1.duration,r_SAM_2.started,question_sam_2.started,rating_sam_2.started,r_SAM_2.stopped,stimuli.rating_sam_2.keys,stimuli.rating_sam_2.rt,stimuli.rating_sam_2.duration,r_SAM_3.started,question_sam_3.started,rating_sam_3.started,r_SAM_3.stopped,stimuli.rating_sam_3.keys,stimuli.rating_sam_3.rt,stimuli.rating_sam_3.duration,r_focus_questionnaire.started,focus_slider.started,r_focus_questionnaire.stopped,stimuli.focus_slider.response,stimuli.focus_slider.rt,fixation_cross.stopped,r_final_questionnaire.started,opinion_slider.started,r_final_questionnaire.stopped,opinion_slider.response,opinion_slider.rt,expEndTime,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,1763047673.410074,0.3572616250003193,0.3908124999998108,11.789781749999747,space,11.1517420830005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2025-11-13_16h22.53.551,manipulation-of-belief,,2025.1.1,2025-11-13 16h27.55.065691 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.789817542001401,11.8271605000009,143.69522491700081,space,131.85938816599992,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2025-11-13_16h22.53.551,manipulation-of-belief,,2025.1.1,2025-11-13 16h27.55.065691 +0100,
1,0,0,0,5768645-uhd_3840_2160_25fps.mp4,Human Generated,space,122.05225674900066,None,5,13.418727041000238,None,1,6.9899707499989745,None,4,33.86936449899986,None,5.0,8.197517874999903,0,0,0,0,143.77755354200053,,,,,,,,,,,,,,,5768645-uhd_3840_2160_25fps.mp4,Human Generated,143.74510479200035,148.70058000000063,148.70063300000038,148.71402725000007,149.70113012500042,150.02919458399992,150.10672366700055,150.10672366700055,270.22938508399966,272.17262975000085,space,122.05225674900066,None,272.30985595899983,272.33270654199987,272.33270654199987,285.75794916700033,5,13.418727041000238,None,285.75807541700124,285.77123929200025,285.77123929200025,292.76700854200135,1,6.9899707499989745,None,292.76718316700135,292.78204083400124,292.78204083400124,326.65638212500016,4,33.86936449899986,None,326.66320279200045,326.72453416700046,334.87039750000076,5.0,8.197517874999903,,,,,,,,10,001,2025-11-13_16h22.53.551,manipulation-of-belief,,2025.1.1,2025-11-13 16h27.55.065691 +0100,
2,1,1,0,18840567-hd_1920_1080_30fps.mp4,AI Generated,space,106.11524049900072,None,2,15.68369595799959,None,3,10.339545499999076,None,3,8.710918999000569,None,5.0,10.613053625000248,0,1,1,1,334.8812528340004,,,,,,,,,,,,,,,18840567-hd_1920_1080_30fps.mp4,AI Generated,334.8707232500001,339.86613212500015,339.86618716700104,339.871376209001,340.86559429200133,341.094521250001,341.14353800000026,341.14353800000026,444.6166279170011,447.2687232090011,space,106.11524049900072,None,447.3971194170008,447.4294256250014,447.4294256250014,463.1159033340009,2,15.68369595799959,None,463.116040709001,463.12384037500124,463.12384037500124,473.4655977500006,3,10.339545499999076,None,473.46579162499984,473.47210687500046,473.47210687500046,482.188109834,3,8.710918999000569,None,482.19512970899996,482.2262391250006,492.81845808400067,5.0,10.613053625000248,341.14353800000026,,,,,,,10,001,2025-11-13_16h22.53.551,manipulation-of-belief,,2025.1.1,2025-11-13 16h27.55.065691 +0100,
3,2,2,0,4171487-uhd_3840_2160_30fps.mp4,Human Generated,space,114.84934299900124,None,5,7.176194249999753,None,2,8.7999454159999,None,4,8.763897873999667,None,4.0,3.1505938339996646,0,2,2,2,492.83003533400006,,,,,,,,,,,,,,,4171487-uhd_3840_2160_30fps.mp4,Human Generated,492.81879237500107,497.81414329200015,497.81419058400024,497.81910416699975,498.80220675000055,499.2094106250006,499.2777317500004,499.2777317500004,611.5151208750012,614.1313177920001,space,114.84934299900124,None,614.2460685000005,614.2574076670007,614.2574076670007,621.4369277500009,5,7.176194249999753,None,621.437139959,621.4505823340005,621.4505823340005,630.2531205840005,2,8.7999454159999,None,630.2532278340004,630.2630597919997,630.2630597919997,639.0304142090008,4,8.763897873999667,None,639.0339052090003,639.0621492500013,642.1948159590011,4.0,3.1505938339996646,499.2777317500004,,,,,,,10,001,2025-11-13_16h22.53.551,manipulation-of-belief,,2025.1.1,2025-11-13 16h27.55.065691 +0100,
4,3,3,0,11946387_3840_2160_30fps.mp4,AI Generated,space,121.58462854099889,None,3,11.130310165999617,None,3,6.800424331999238,None,3,7.035327123998286,None,5.0,4.285371084000872,0,3,3,3,642.2032061250011,,,,,,,,,,,,,,,11946387_3840_2160_30fps.mp4,AI Generated,642.1951153339996,647.195269834001,647.1953191250013,647.2010578750014,648.1843857500007,648.4853767920013,648.5572256670002,648.5572256670002,768.6593465000005,770.1486126250002,space,121.58462854099889,None,770.272333375,770.2911863750014,770.2911863750014,781.428078125,3,11.130310165999617,None,781.4282377920008,781.4342304590009,781.4342304590009,788.2441411670006,3,6.800424331999238,None,788.2442890840011,788.2544882500006,788.2544882500006,795.2939686250011,3,7.035327123998286,None,795.2972221250002,795.3254636250003,799.5924268750005,5.0,4.285371084000872,648.5572256670002,,,,,,,10,001,2025-11-13_16h22.53.551,manipulation-of-belief,,2025.1.1,2025-11-13 16h27.55.065691 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799.5930400840007,799.6376637920002,809.1974852500007,4.0,9.593682582999463,,10,001,2025-11-13_16h22.53.551,manipulation-of-belief,,2025.1.1,2025-11-13 16h27.55.065691 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1763048483.8982,,,,,,,,
