video_index,thisN,thisTrialN,thisRepN,video_id,belief,skip_video.keys,rating_sam_1.keys,rating_sam_1.rt,rating_sam_1.duration,rating_sam_2.keys,rating_sam_2.rt,rating_sam_2.duration,rating_sam_3.keys,rating_sam_3.rt,rating_sam_3.duration,focus_slider.response,focus_slider.rt,skip_video.rt,skip_video.duration,stimuli.thisRepN,stimuli.thisTrialN,stimuli.thisN,stimuli.thisIndex,thisRow.t,notes,expStartTime,r_instructions.started,key_instruct.started,r_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,r_baseline.started,skip_baseline.started,r_baseline.stopped,skip_baseline.keys,skip_baseline.rt,skip_baseline.duration,stimuli.video_id,stimuli.belief,r_preparation.started,r_preparation.stopped,r_fix.started,polygon.started,r_fix.stopped,r_video.started,video.started,skip_video.started,video.stopped,r_video.stopped,stimuli.skip_video.keys,r_SAM_1.started,question_sam_1.started,rating_sam_1.started,r_SAM_1.stopped,stimuli.rating_sam_1.keys,stimuli.rating_sam_1.rt,stimuli.rating_sam_1.duration,r_SAM_2.started,question_sam_2.started,rating_sam_2.started,r_SAM_2.stopped,stimuli.rating_sam_2.keys,stimuli.rating_sam_2.rt,stimuli.rating_sam_2.duration,r_SAM_3.started,question_sam_3.started,rating_sam_3.started,r_SAM_3.stopped,stimuli.rating_sam_3.keys,stimuli.rating_sam_3.rt,stimuli.rating_sam_3.duration,r_focus_questionnaire.started,focus_slider.started,r_focus_questionnaire.stopped,stimuli.focus_slider.response,stimuli.focus_slider.rt,polygon.stopped,stimuli.skip_video.rt,stimuli.skip_video.duration,r_final_questionnaire.started,opinion_slider.started,r_final_questionnaire.stopped,opinion_slider.response,opinion_slider.rt,expEndTime,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,1763555945.285481,0.03691659995820373,0.07235499995294958,39.218514399952255,space,39.11978060007095,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,001,2025-11-19_13h38.32.069,manipulation-of-belief,,2025.1.1,2025-11-19 13h39.06.282580 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.218625999987125,39.24108519998845,168.71868930000346,space,129.45925219997298,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,001,2025-11-19_13h38.32.069,manipulation-of-belief,,2025.1.1,2025-11-19 13h39.06.282580 +0100,
1,0,0,0,11946387_3840_2160_30fps.mp4,Human Generated,None,4,10.00997659994755,None,3,6.127386000007391,None,5,13.852169999969192,None,3.0,10.143739599967375,,,0,0,0,0,168.7839763999218,,,,,,,,,,,,,,,11946387_3840_2160_30fps.mp4,Human Generated,168.7671977999853,173.73517799994443,173.7352416999638,173.75173489993904,174.23522769997362,174.56529719999526,174.6302481999155,174.6302481999155,294.84042569994926,294.691409299965,None,294.8269205999095,294.84042569994926,294.84042569994926,304.8546226999024,4,10.00997659994755,None,304.8549607999157,304.87088349997066,304.87088349997066,311.00424139993265,3,6.127386000007391,None,311.0044241999276,311.02027059998363,311.02027059998363,324.88840649998747,5,13.852169999969192,None,324.8968819999136,324.9484569999622,335.0591903999448,3.0,10.143739599967375,,,,,,,,,,16,001,2025-11-19_13h38.32.069,manipulation-of-belief,,2025.1.1,2025-11-19 13h39.06.282580 +0100,
2,1,1,0,18840567-hd_1920_1080_30fps.mp4,Human Generated,space,5,7.987399800098501,None,2,5.778160699992441,None,5,3.176621099933982,None,2.0,8.398614699952304,106.55638920003548,None,0,1,1,1,335.0704759999644,,,,,,,,,,,,,,,18840567-hd_1920_1080_30fps.mp4,Human Generated,335.0595739999553,340.0547641000012,340.05483559996355,340.07072059996426,340.5547352998983,340.91184139996767,340.97379349998664,340.97379349998664,444.3899460999528,447.5393340999726,space,447.6446993999416,447.64978410000913,447.64978410000913,455.6404360999586,5,7.987399800098501,None,455.64054980000947,455.6559283999959,455.6559283999959,461.44025869993493,2,5.778160699992441,None,461.4403785999166,461.4561641999753,461.4561641999753,464.6402650999371,5,3.176621099933982,None,464.64214359992184,464.6592483998975,473.0564763000002,2.0,8.398614699952304,340.97379349998664,106.55638920003548,None,,,,,,,16,001,2025-11-19_13h38.32.069,manipulation-of-belief,,2025.1.1,2025-11-19 13h39.06.282580 +0100,
3,2,2,0,4171487-uhd_3840_2160_30fps.mp4,AI Generated,None,4,3.9171348999952897,None,3,2.2815691999858245,None,5,6.7970573999919,None,4.0,6.698380899964832,,,0,2,2,2,473.07256509992294,,,,,,,,,,,,,,,4171487-uhd_3840_2160_30fps.mp4,AI Generated,473.05672069999855,478.0566638999153,478.0567425999325,478.07261219993234,478.55640579992905,479.06964020000305,479.12676329992246,479.12676329992246,591.4576435999479,591.3187596999342,None,591.4540473999223,591.4576435999479,591.4576435999479,595.3926982999546,4,3.9171348999952897,None,595.3928221999668,595.4082228000043,595.4082228000043,597.7086994999554,3,2.2815691999858245,None,597.7088071999606,597.7249474999262,597.7249474999262,604.5255398999434,5,6.7970573999919,None,604.5277441999642,604.5462922999868,611.2417026999174,4.0,6.698380899964832,479.12676329992246,,,,,,,,,16,001,2025-11-19_13h38.32.069,manipulation-of-belief,,2025.1.1,2025-11-19 13h39.06.282580 +0100,
4,3,3,0,5768645-uhd_3840_2160_25fps.mp4,AI Generated,space,3,2.9583571000257507,None,3,3.195182100054808,None,5,2.103715799981728,None,3.0,9.531377600040287,123.72699039999861,None,0,3,3,3,611.2578636999242,,,,,,,,,,,,,,,5768645-uhd_3840_2160_25fps.mp4,AI Generated,611.2418896999443,616.2418169999728,616.2418743999442,616.2581391999265,616.7420072999084,617.2875941999955,617.3599542999873,617.3599542999873,737.4721856999677,741.0939008999849,space,741.2268668999895,741.2311714999378,741.2311714999378,744.194645499927,3,2.9583571000257507,None,744.1947961999103,744.2104008999886,744.2104008999886,747.4107018999057,3,3.195182100054808,None,747.4107789999107,747.4267056999961,747.4267056999961,749.5444444000022,5,2.103715799981728,None,749.5467589999316,749.5638527999399,759.0943983999314,3.0,9.531377600040287,617.3599542999873,123.72699039999861,None,,,,,,,16,001,2025-11-19_13h38.32.069,manipulation-of-belief,,2025.1.1,2025-11-19 13h39.06.282580 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759.0971639999188,759.1231596999569,770.0439719998976,4.0,10.931684399954975,,16,001,2025-11-19_13h38.32.069,manipulation-of-belief,,2025.1.1,2025-11-19 13h39.06.282580 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1763556716.289767,,,,,,,,
