video_index,thisN,thisTrialN,thisRepN,video_id,belief,skip_video.keys,skip_video.rt,skip_video.duration,rating_sam_1.keys,rating_sam_1.rt,rating_sam_1.duration,rating_sam_2.keys,rating_sam_2.rt,rating_sam_2.duration,rating_sam_3.keys,rating_sam_3.rt,rating_sam_3.duration,focus_slider.response,focus_slider.rt,stimuli.thisRepN,stimuli.thisTrialN,stimuli.thisN,stimuli.thisIndex,thisRow.t,notes,expStartTime,r_instructions.started,key_instruct.started,r_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,r_baseline.started,skip_baseline.started,r_baseline.stopped,skip_baseline.keys,skip_baseline.rt,skip_baseline.duration,stimuli.video_id,stimuli.belief,r_preparation.started,r_preparation.stopped,r_fixation.started,fixation_cross.started,r_fixation.stopped,r_video.started,video.started,skip_video.started,video.stopped,r_video.stopped,stimuli.skip_video.keys,stimuli.skip_video.rt,stimuli.skip_video.duration,r_SAM_1.started,question_sam_1.started,rating_sam_1.started,r_SAM_1.stopped,stimuli.rating_sam_1.keys,stimuli.rating_sam_1.rt,stimuli.rating_sam_1.duration,r_SAM_2.started,question_sam_2.started,rating_sam_2.started,r_SAM_2.stopped,stimuli.rating_sam_2.keys,stimuli.rating_sam_2.rt,stimuli.rating_sam_2.duration,r_SAM_3.started,question_sam_3.started,rating_sam_3.started,r_SAM_3.stopped,stimuli.rating_sam_3.keys,stimuli.rating_sam_3.rt,stimuli.rating_sam_3.duration,r_focus_questionnaire.started,focus_slider.started,r_focus_questionnaire.stopped,stimuli.focus_slider.response,stimuli.focus_slider.rt,r_final_questionnaire.started,opinion_slider.started,r_final_questionnaire.stopped,opinion_slider.response,opinion_slider.rt,expEndTime,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,1763131267.2409034,0.025346599984914064,0.04604699998162687,108.07321459997911,space,107.89304599998286,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,2025-11-14_15h40.56.727,manipulation-of-belief,,2025.1.1,2025-11-14 15h41.09.126886 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.07326269999612,108.08569519998855,258.22142639997764,space,150.11843269999372,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,2025-11-14_15h40.56.727,manipulation-of-belief,,2025.1.1,2025-11-14 15h41.09.126886 +0100,
1,0,0,0,5768645-uhd_3840_2160_25fps.mp4,Human Generated,space,142.9673810999957,None,5,22.149033199995756,None,3,16.952656600013142,None,4,49.952077399997506,None,5.0,41.02713920001406,0,0,0,0,258.3101211999892,,,,,,,,,,,,,,,5768645-uhd_3840_2160_25fps.mp4,Human Generated,258.287691000005,263.23784649997833,263.23791319999145,263.25671019998845,264.2236279999779,264.66746050000074,264.80437100000563,264.80437100000563,384.93854589998955,407.79291399999056,space,142.9673810999957,None,407.92423029997735,407.9586989999807,407.9586989999807,430.110468400002,5,22.149033199995756,None,430.1106779999973,430.1264050999889,430.1264050999889,447.09396689999267,3,16.952656600013142,None,447.09418299997924,447.1102745999815,447.1102745999815,497.07816679999814,4,49.952077399997506,None,497.1020406000025,497.16819239998586,538.1451576999971,5.0,41.02713920001406,,,,,,,11,001,2025-11-14_15h40.56.727,manipulation-of-belief,,2025.1.1,2025-11-14 15h41.09.126886 +0100,
2,1,1,0,18840567-hd_1920_1080_30fps.mp4,AI Generated,space,128.27244380000047,None,3,16.35702530000708,None,4,14.30045870001777,None,2,38.81397609997657,None,5.0,10.632855999981984,0,1,1,1,538.1610159999982,,,,,,,,,,,,,,,18840567-hd_1920_1080_30fps.mp4,AI Generated,538.1455763999838,543.1447483999946,543.1448445999995,543.1636285999848,544.1472753999988,544.5266580999887,544.6023694000032,544.6023694000032,648.0033665999945,672.8845187999832,space,128.27244380000047,None,672.9964233999781,673.0020094999927,673.0020094999927,689.3686259999813,3,16.35702530000708,None,689.3687269999937,689.3846022999787,689.3846022999787,703.701961099985,4,14.30045870001777,None,703.7020556000061,703.7183013999893,703.7183013999893,742.5359382999886,2,38.81397609997657,None,742.5371656999923,742.5526913999929,753.1856886000023,5.0,10.632855999981984,,,,,,,11,001,2025-11-14_15h40.56.727,manipulation-of-belief,,2025.1.1,2025-11-14 15h41.09.126886 +0100,
3,2,2,0,11946387_3840_2160_30fps.mp4,AI Generated,space,156.71663790001185,None,3,31.233803600014653,None,2,6.015383299993118,None,4,9.820131999993464,None,5.0,6.13153399998555,0,2,2,2,753.201725699997,,,,,,,,,,,,,,,11946387_3840_2160_30fps.mp4,AI Generated,753.1859461999848,758.1855068999866,758.1855513000046,758.2044415999844,759.1879078999918,759.5989963999891,759.6779427999863,759.6779427999863,879.7253664000018,916.4113563999999,space,156.71663790001185,None,916.5317494999908,916.5362119999772,916.5362119999772,947.776308600005,3,31.233803600014653,None,947.7765125999867,947.7922284999804,947.7922284999804,953.8097429999907,2,6.015383299993118,None,953.809843199997,953.8256447000022,953.8256447000022,963.6595684000058,4,9.820131999993464,None,963.6615252000047,963.6807154999988,969.8091872999794,5.0,6.13153399998555,,,,,,,11,001,2025-11-14_15h40.56.727,manipulation-of-belief,,2025.1.1,2025-11-14 15h41.09.126886 +0100,
4,3,3,0,4171487-uhd_3840_2160_30fps.mp4,Human Generated,None,,,4,12.496198700013338,None,1,8.2390876999998,None,1,10.546326999989105,None,5.0,6.332439899997553,0,3,3,3,969.8252228999918,,,,,,,,,,,,,,,4171487-uhd_3840_2160_30fps.mp4,Human Generated,969.8094455999963,974.8089678999968,974.8090078999812,974.8278817999817,975.8114082999818,976.2958801999921,976.361736699997,976.361736699997,1088.6843528999889,1088.5449799000053,None,,,1088.6802242999838,1088.6843528999889,1088.6843528999889,1101.1857344000018,4,12.496198700013338,None,1101.1858024999965,1101.2021743999794,1101.2021743999794,1109.4525926999922,1,8.2390876999998,None,1109.4526484999806,1109.4688583999814,1109.4688583999814,1120.0194333999825,1,10.546326999989105,None,1120.0207088000025,1120.0371864000044,1126.3694101999863,5.0,6.332439899997553,,,,,,,11,001,2025-11-14_15h40.56.727,manipulation-of-belief,,2025.1.1,2025-11-14 15h41.09.126886 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1126.3737012999773,1126.3935268999776,1146.969101900002,3.0,20.58237790002022,,11,001,2025-11-14_15h40.56.727,manipulation-of-belief,,2025.1.1,2025-11-14 15h41.09.126886 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1763132416.070648,,,,,,,,
