video_index,thisN,thisTrialN,thisRepN,video_id,belief,skip_video.keys,skip_video.rt,skip_video.duration,rating_sam_1.keys,rating_sam_1.rt,rating_sam_1.duration,rating_sam_2.keys,rating_sam_2.rt,rating_sam_2.duration,rating_sam_3.keys,rating_sam_3.rt,rating_sam_3.duration,focus_slider.response,focus_slider.rt,stimuli.thisRepN,stimuli.thisTrialN,stimuli.thisN,stimuli.thisIndex,thisRow.t,notes,expStartTime,r_instructions.started,key_instruct.started,r_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,r_baseline.started,skip_baseline.started,r_baseline.stopped,skip_baseline.keys,skip_baseline.rt,skip_baseline.duration,stimuli.video_id,stimuli.belief,r_preparation.started,r_preparation.stopped,r_fixation.started,fixation_cross.started,r_fixation.stopped,r_video.started,video.started,skip_video.started,video.stopped,r_video.stopped,stimuli.skip_video.keys,stimuli.skip_video.rt,stimuli.skip_video.duration,r_SAM_1.started,question_sam_1.started,rating_sam_1.started,r_SAM_1.stopped,stimuli.rating_sam_1.keys,stimuli.rating_sam_1.rt,stimuli.rating_sam_1.duration,r_SAM_2.started,question_sam_2.started,rating_sam_2.started,r_SAM_2.stopped,stimuli.rating_sam_2.keys,stimuli.rating_sam_2.rt,stimuli.rating_sam_2.duration,r_SAM_3.started,question_sam_3.started,rating_sam_3.started,r_SAM_3.stopped,stimuli.rating_sam_3.keys,stimuli.rating_sam_3.rt,stimuli.rating_sam_3.duration,r_focus_questionnaire.started,focus_slider.started,r_focus_questionnaire.stopped,stimuli.focus_slider.response,stimuli.focus_slider.rt,fixation_cross.stopped,r_final_questionnaire.started,opinion_slider.started,r_final_questionnaire.stopped,opinion_slider.response,opinion_slider.rt,expEndTime,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,1763305434.452673,0.5230000000010477,0.5525787920050789,67.61833241700515,space,66.43543904100079,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,001,2025-11-16_15h57.44.532,manipulation-of-belief,,2025.1.1,2025-11-16 16h03.56.593800 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.61904266700003,67.80867920900346,206.68050470900198,space,138.8361392490042,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,001,2025-11-16_15h57.44.532,manipulation-of-belief,,2025.1.1,2025-11-16 16h03.56.593800 +0100,
1,0,0,0,11946387_3840_2160_30fps.mp4,Human Generated,space,122.13867566599947,None,5,7.37039487400034,None,2,8.206551791001402,None,2,11.849203748999571,None,4.0,28.17177945799631,0,0,0,0,206.9162373750005,,,,,,,,,,,,,,,11946387_3840_2160_30fps.mp4,Human Generated,206.74026758400578,211.6845488750041,211.68462120900222,211.90623062500526,212.68451083400578,212.94521895900107,213.0545280840015,213.0545280840015,333.09085858400067,335.29806383400137,space,122.13867566599947,None,335.42314312500093,335.7699670420043,335.7699670420043,343.1522439170003,5,7.37039487400034,None,343.1525489170017,343.1663429170003,343.1663429170003,351.3849667090035,2,8.206551791001402,None,351.3852512090016,351.4043023750055,351.4043023750055,363.2572582089997,2,11.849203748999571,None,363.26610029199946,363.4062275420001,391.4489804590048,4.0,28.17177945799631,,,,,,,,14,001,2025-11-16_15h57.44.532,manipulation-of-belief,,2025.1.1,2025-11-16 16h03.56.593800 +0100,
2,1,1,0,5768645-uhd_3840_2160_25fps.mp4,AI Generated,space,121.93092591599998,None,2,6.476011291000759,None,3,5.103466373999254,None,4,2.6799976240072283,None,4.0,7.301088833002723,0,1,1,1,391.46075541699975,,,,,,,,,,,,,,,5768645-uhd_3840_2160_25fps.mp4,AI Generated,391.4505214170058,396.4497166670044,396.4498308340044,396.45520241700433,397.4387302500036,397.9361320840035,398.0301009169998,398.0301009169998,518.1567518340016,520.0569263750003,space,121.93092591599998,None,520.196275125003,520.4408587500002,520.4408587500002,526.9236861669997,2,6.476011291000759,None,526.9239277090019,526.9357089590048,526.9357089590048,532.049796750005,3,5.103466373999254,None,532.0499575420035,532.0597366670045,532.0597366670045,534.7497401250002,4,2.6799976240072283,None,534.7630605000013,534.7984219999998,542.0738679589995,4.0,7.301088833002723,398.0301009169998,,,,,,,14,001,2025-11-16_15h57.44.532,manipulation-of-belief,,2025.1.1,2025-11-16 16h03.56.593800 +0100,
3,2,2,0,4171487-uhd_3840_2160_30fps.mp4,AI Generated,None,,,5,2.72683266599779,None,4,2.343653208001342,None,2,2.2747701659973245,None,3.0,2.4724636250030017,0,2,2,2,542.0844340840049,,,,,,,,,,,,,,,4171487-uhd_3840_2160_30fps.mp4,AI Generated,542.0746555000005,547.0708379589996,547.0709567500016,547.0813352090045,548.0649370840038,548.493759459001,548.5636816250044,548.5636816250044,660.9177595000001,660.7574904590001,None,,,660.9028965840043,660.9177595000001,660.9177595000001,663.7359777090023,5,2.72683266599779,None,663.7366141250022,664.0144121670019,664.0144121670019,666.3644390420013,4,2.343653208001342,None,666.3646357090038,666.3745538340008,666.3745538340008,668.654569959006,2,2.2747701659973245,None,668.6679090420002,668.7034169170001,671.1508100840001,3.0,2.4724636250030017,548.5636816250044,,,,,,,14,001,2025-11-16_15h57.44.532,manipulation-of-belief,,2025.1.1,2025-11-16 16h03.56.593800 +0100,
4,3,3,0,18840567-hd_1920_1080_30fps.mp4,Human Generated,space,105.04777037399617,None,5,2.3776986239972757,None,3,1.5562538739977754,None,2,1.4178497079992667,None,3.0,1.9234421250002924,0,3,3,3,671.1618345420065,,,,,,,,,,,,,,,18840567-hd_1920_1080_30fps.mp4,Human Generated,671.1523107920002,676.146646084002,676.1467095000044,676.1523984170053,677.1463536250012,677.4565657090061,677.5077928340033,677.5077928340033,780.9468197500028,782.5687073340014,space,105.04777037399617,None,782.705961959,782.7240872500042,782.7240872500042,785.1127389169997,5,2.3776986239972757,None,785.112935959005,785.1236415000021,785.1236415000021,786.6861352500055,3,1.5562538739977754,None,786.6862802500036,786.6987809590064,786.6987809590064,788.1286954590032,2,1.4178497079992667,None,788.1321548750057,788.1563543750017,790.0656535420057,3.0,1.9234421250002924,677.5077928340033,,,,,,,14,001,2025-11-16_15h57.44.532,manipulation-of-belief,,2025.1.1,2025-11-16 16h03.56.593800 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790.0663212920044,790.1176361250036,801.2274115840046,3.0,11.150863124996249,,14,001,2025-11-16_15h57.44.532,manipulation-of-belief,,2025.1.1,2025-11-16 16h03.56.593800 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1763306237.3048801,,,,,,,,
