Participant ID: 6
Start time: 2025-11-13 13:52:00
End time: 2025-11-13 14:09:00

RR,ArtifactCorrectedRR,RawArtifact,ts
804.0,804,0,2025-11-13 13:52:00.000
766.0,766,0,2025-11-13 13:52:00.766
803.0,803,0,2025-11-13 13:52:01.569
325.0,765,3,2025-11-13 13:52:02.334
440.0,786,0,2025-11-13 13:52:03.120
786.0,780,0,2025-11-13 13:52:03.900
780.0,786,0,2025-11-13 13:52:04.686
786.0,810,0,2025-11-13 13:52:05.496
810.0,783,0,2025-11-13 13:52:06.279
783.0,780,0,2025-11-13 13:52:07.059
780.0,785,0,2025-11-13 13:52:07.844
785.0,809,0,2025-11-13 13:52:08.653
809.0,794,0,2025-11-13 13:52:09.447
794.0,766,2,2025-11-13 13:52:10.213
574.0,768,2,2025-11-13 13:52:10.981
501.0,771,2,2025-11-13 13:52:11.752
353.0,773,2,2025-11-13 13:52:12.525
939.0,775,2,2025-11-13 13:52:13.300
3044.0,778,2,2025-11-13 13:52:14.078
813.0,780,2,2025-11-13 13:52:14.858
757.0,813,0,2025-11-13 13:52:15.671
770.0,757,0,2025-11-13 13:52:16.428
835.0,770,0,2025-11-13 13:52:17.198
857.0,835,0,2025-11-13 13:52:18.033
817.0,857,0,2025-11-13 13:52:18.890
843.0,817,0,2025-11-13 13:52:19.707
873.0,843,0,2025-11-13 13:52:20.550
893.0,873,0,2025-11-13 13:52:21.423
840.0,893,0,2025-11-13 13:52:22.316
754.0,840,0,2025-11-13 13:52:23.156
751.0,754,0,2025-11-13 13:52:23.910
838.0,751,0,2025-11-13 13:52:24.661
908.0,838,0,2025-11-13 13:52:25.499
892.0,908,0,2025-11-13 13:52:26.407
887.0,892,0,2025-11-13 13:52:27.299
921.0,887,0,2025-11-13 13:52:28.186
806.0,921,0,2025-11-13 13:52:29.107
807.0,806,0,2025-11-13 13:52:29.913
817.0,807,0,2025-11-13 13:52:30.720
816.0,817,0,2025-11-13 13:52:31.537
811.0,816,0,2025-11-13 13:52:32.353
852.0,811,0,2025-11-13 13:52:33.164
859.0,852,0,2025-11-13 13:52:34.016
896.0,859,0,2025-11-13 13:52:34.875
892.0,896,0,2025-11-13 13:52:35.771
818.0,892,0,2025-11-13 13:52:36.663
819.0,818,0,2025-11-13 13:52:37.481
844.0,819,0,2025-11-13 13:52:38.300
833.0,844,0,2025-11-13 13:52:39.144
832.0,833,0,2025-11-13 13:52:39.977
773.0,832,0,2025-11-13 13:52:40.809
790.0,773,0,2025-11-13 13:52:41.582
784.0,790,0,2025-11-13 13:52:42.372
799.0,784,0,2025-11-13 13:52:43.156
782.0,799,0,2025-11-13 13:52:43.955
844.0,782,0,2025-11-13 13:52:44.737
875.0,844,0,2025-11-13 13:52:45.581
820.0,875,0,2025-11-13 13:52:46.456
803.0,820,0,2025-11-13 13:52:47.276
864.0,803,0,2025-11-13 13:52:48.079
905.0,864,0,2025-11-13 13:52:48.943
838.0,905,0,2025-11-13 13:52:49.848
801.0,838,0,2025-11-13 13:52:50.686
836.0,801,0,2025-11-13 13:52:51.487
861.0,836,0,2025-11-13 13:52:52.323
841.0,861,0,2025-11-13 13:52:53.184
786.0,841,0,2025-11-13 13:52:54.025
814.0,786,0,2025-11-13 13:52:54.811
